,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,48.6,49.85,46.85,47.6,47.45,49.15,157120,7573043.6,30-APR-2018,971,INE144J01027
1,21STCENMGM,EQ,44.7,44.7,44.7,44.7,44.7,43.85,14455,646138.5,30-APR-2018,22,INE253B01015
2,3IINFOTECH,EQ,4.95,5.0,4.85,4.95,4.95,4.9,1174232,5791781.75,30-APR-2018,738,INE748C01020
3,3MINDIA,EQ,20700.0,20700.0,20455.0,20524.1,20455.0,20479.2,675,13850315.4,30-APR-2018,350,INE470A01017
4,5PAISA,BE,399.7,404.65,392.0,404.65,404.65,385.4,8237,3300018.25,30-APR-2018,90,INE618L01018
5,63MOONS,EQ,91.6,95.0,90.0,90.4,90.4,90.55,159602,14582357.7,30-APR-2018,2775,INE111B01023
6,8KMILES,EQ,802.95,809.55,778.3,786.1,784.0,795.65,127879,101208545.65,30-APR-2018,5532,INE650K01021
7,A2ZINFRA,EQ,27.25,27.9,26.5,26.75,26.6,27.1,270864,7290270.7,30-APR-2018,1058,INE619I01012
8,AAKASH,ST,54.55,56.2,54.55,56.0,0.0,57.0,104000,5823900.0,30-APR-2018,51,INE087Z01016
9,AARTIDRUGS,EQ,587.65,590.0,571.7,573.7,573.05,584.4,2211,1285307.3,30-APR-2018,273,INE767A01016
10,AARTIIND,EQ,1327.0,1358.15,1327.0,1343.45,1337.0,1325.9,36743,49228506.95,30-APR-2018,2794,INE769A01020
11,AARVEEDEN,EQ,45.3,49.0,42.8,45.45,45.1,43.9,142729,6611675.3,30-APR-2018,1192,INE273D01019
12,AARVI,SM,92.0,94.45,92.0,93.2,94.45,94.5,4000,372900.0,30-APR-2018,2,INE754X01016
13,ABAN,EQ,174.05,178.9,173.5,175.0,174.6,173.85,1404810,247466882.7,30-APR-2018,12888,INE421A01028
14,ABB,EQ,1349.2,1370.0,1340.15,1358.5,1356.35,1339.75,52088,70464304.25,30-APR-2018,3572,INE117A01022
15,ABBOTINDIA,EQ,6140.0,6259.4,6140.0,6179.65,6199.0,6157.75,4816,29862102.9,30-APR-2018,993,INE358A01014
16,ABCAPITAL,EQ,157.45,162.0,157.1,159.75,160.0,156.3,2127844,340210895.6,30-APR-2018,19900,INE674K01013
