,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,29.0,30.0,28.4,28.85,28.5,28.65,10153,294567.05,17-MAR-2016,109,INE144J01027
1,3IINFOTECH,EQ,4.25,4.4,4.25,4.3,4.25,4.2,1124264,4841916.8,17-MAR-2016,457,INE748C01020
2,3MINDIA,EQ,10870.0,10918.0,10675.0,10696.05,10675.0,10772.7,410,4431776.5,17-MAR-2016,151,INE470A01017
3,8KMILES,EQ,2118.3,2196.0,2118.3,2132.5,2137.0,2099.4,68480,148253214.05,17-MAR-2016,7475,INE650K01013
4,A2ZINFRA,EQ,20.2,20.3,19.4,19.75,19.45,19.7,760782,15026940.6,17-MAR-2016,566,INE619I01012
5,AARTIDRUGS,EQ,482.0,487.85,472.55,482.0,485.0,481.95,5610,2693005.8,17-MAR-2016,407,INE767A01016
6,AARTIIND,EQ,490.7,491.55,471.05,472.6,471.1,487.9,25756,12280223.15,17-MAR-2016,2340,INE769A01020
7,AARVEEDEN,EQ,55.4,55.4,52.55,54.05,54.35,51.95,505,26960.85,17-MAR-2016,28,INE273D01019
8,ABAN,EQ,186.3,190.2,184.05,185.55,185.0,182.5,1164072,217911390.5,17-MAR-2016,14150,INE421A01028
9,ABB,EQ,1132.6,1154.35,1130.1,1148.35,1140.15,1126.1,42979,49149879.5,17-MAR-2016,3116,INE117A01022
10,ABBOTINDIA,EQ,4791.05,4869.0,4705.0,4725.95,4705.0,4818.95,2776,13260991.3,17-MAR-2016,950,INE358A01014
11,ABFRL,EQ,141.6,149.15,139.5,146.8,144.15,140.8,611360,87731862.45,17-MAR-2016,6169,INE647O01011
12,ABGSHIP,EQ,53.7,55.0,53.1,53.6,53.6,53.3,142221,7726442.3,17-MAR-2016,1328,INE067H01016
13,ABIRLANUVO,EQ,775.0,782.9,770.15,773.65,775.5,772.55,233258,181481180.7,17-MAR-2016,7874,INE069A01017
14,ACC,EQ,1243.9,1284.3,1243.9,1273.7,1277.05,1236.15,661507,839846766.25,17-MAR-2016,17211,INE012A01025
15,ACCELYA,EQ,892.05,896.5,867.0,869.9,867.6,873.1,2102,1832392.85,17-MAR-2016,124,INE793A01012
16,ACE,EQ,36.7,37.5,36.0,36.1,36.2,36.75,102398,3745573.65,17-MAR-2016,350,INE731H01025
17,ACROPETAL,EQ,2.95,2.95,2.75,2.8,2.8,2.8,12059,34364.6,17-MAR-2016,24,INE055L01013
18,ADANIENT,EQ,67.0,69.1,66.3,67.35,67.25,66.1,3376753,228429129.8,17-MAR-2016,16511,INE423A01024
19,ADANIPORTS,EQ,231.4,239.5,231.05,235.7,235.95,228.55,5383866,1273516841.05,17-MAR-2016,49201,INE742F01042
20,ADANIPOWER,EQ,30.15,30.45,29.85,30.0,30.0,29.85,2131324,64288007.6,17-MAR-2016,4327,INE814H01011
21,ADANITRANS,EQ,32.3,32.7,31.8,32.0,32.0,31.9,676543,21785265.05,17-MAR-2016,1673,INE931S01010
22,ADFFOODS,EQ,81.5,81.75,79.2,79.45,79.2,80.0,7684,620381.05,17-MAR-2016,218,INE982B01019
23,ADHUNIK,EQ,11.5,11.65,11.25,11.25,11.25,11.3,23096,264345.75,17-MAR-2016,103,INE400H01019
24,ADI,EQ,284.0,284.0,262.1,271.1,272.0,274.75,6352,1736117.5,17-MAR-2016,295,INE959A01019
25,ADLABS,EQ,90.1,93.0,89.2,90.25,90.25,90.0,124127,11218743.15,17-MAR-2016,2458,INE172N01012
26,ADORWELD,EQ,258.3,268.95,256.4,262.0,261.5,262.85,4529,1188743.35,17-MAR-2016,297,INE045A01017
27,ADSL,EQ,41.75,41.8,39.05,39.4,39.2,40.7,81838,3295953.8,17-MAR-2016,672,INE102I01027
28,ADVANIHOTR,EQ,48.5,49.0,47.0,49.0,49.0,47.0,519,25156.5,17-MAR-2016,17,INE199C01026
29,ADVANTA,EQ,443.7,450.65,435.5,446.55,446.0,435.55,40015,17916775.15,17-MAR-2016,1147,INE517H01028
30,AEGISCHEM,EQ,104.2,105.0,101.0,102.05,101.5,103.8,85772,8839196.0,17-MAR-2016,857,INE208C01025
31,AFL,EQ,52.25,53.95,51.5,52.2,52.95,52.0,10052,525685.55,17-MAR-2016,196,INE020G01017
32,AGARIND,EQ,151.0,151.0,146.25,148.85,149.0,148.55,7573,1135239.85,17-MAR-2016,53,INE204E01012
33,AGCNET,EQ,69.0,71.5,68.5,69.4,69.0,68.8,3433,237726.15,17-MAR-2016,64,INE676A01019
34,AGRITECH,EQ,9.4,9.4,9.25,9.25,9.25,9.0,2,18.65,17-MAR-2016,2,INE449G01018
35,AGRODUTCH,EQ,3.15,3.15,2.95,2.95,2.95,3.0,17286,53350.6,17-MAR-2016,23,INE135B01014
36,AHLEAST,EQ,132.8,132.95,130.1,132.95,132.95,134.7,205,27064.35,17-MAR-2016,19,INE926K01017
37,AHLUCONT,EQ,237.25,254.8,237.25,250.8,251.0,239.45,158796,39640956.8,17-MAR-2016,3880,INE758C01029
38,AHLWEST,EQ,127.0,131.0,122.0,122.7,122.0,120.0,193,24476.8,17-MAR-2016,61,INE915K01010
39,AIAENG,EQ,909.0,942.0,885.1,930.2,931.4,901.1,60788,55921866.95,17-MAR-2016,6291,INE212H01026
40,AICHAMP,BE,22.8,22.8,22.8,22.8,22.8,24.0,25,570.0,17-MAR-2016,2,INE768E01024
41,AIFL,EQ,240.0,241.95,231.6,234.7,232.15,239.6,94716,22183279.45,17-MAR-2016,2118,INE428O01016
42,AIL,EQ,607.8,619.7,578.0,580.95,580.0,609.3,73833,44450410.65,17-MAR-2016,1296,INE878A01011
43,AJANTPHARM,EQ,1402.8,1402.8,1349.45,1358.8,1357.0,1384.9,197630,270835879.2,17-MAR-2016,11148,INE031B01049
44,AJMERA,EQ,128.75,129.75,124.55,126.05,125.55,127.35,23496,3001741.15,17-MAR-2016,553,INE298G01027
45,AKSHOPTFBR,EQ,13.05,13.35,12.95,13.0,13.0,12.9,694929,9126896.4,17-MAR-2016,1234,INE523B01011
46,AKZOINDIA,EQ,1282.05,1305.0,1270.0,1293.6,1289.0,1270.6,14243,18282536.5,17-MAR-2016,1975,INE133A01011
47,ALANKIT,EQ,102.55,103.85,101.6,102.35,102.5,101.6,740975,76216859.5,17-MAR-2016,2618,INE914E01032
48,ALBK,EQ,52.75,53.15,51.6,52.1,52.1,51.85,2661606,139096310.0,17-MAR-2016,10675,INE428A01015
49,ALCHEM,EQ,21.4,22.5,20.1,21.0,20.1,21.5,19748,429193.55,17-MAR-2016,113,INE964B01033
50,ALEMBICLTD,EQ,37.8,37.8,36.6,37.0,37.15,37.1,158318,5902926.25,17-MAR-2016,961,INE426A01027
51,ALICON,EQ,267.0,272.7,267.0,270.0,270.0,265.75,1419,383236.6,17-MAR-2016,81,INE062D01024
52,ALKALI,EQ,42.0,43.0,41.7,42.05,41.7,42.0,1869,78724.7,17-MAR-2016,36,INE773I01017
53,ALKEM,EQ,1365.0,1389.7,1336.6,1350.85,1350.05,1356.25,46550,63405288.1,17-MAR-2016,4432,INE540L01014
54,ALKYLAMINE,EQ,306.05,323.0,301.55,308.35,308.35,310.45,436,136259.8,17-MAR-2016,26,INE150B01021
55,ALLCARGO,EQ,159.45,159.7,156.2,158.3,159.0,158.9,91896,14505551.9,17-MAR-2016,2758,INE418H01029
56,ALLSEC,EQ,107.2,111.0,106.25,107.0,106.25,107.85,8608,939398.15,17-MAR-2016,146,INE835G01018
57,ALMONDZ,EQ,9.6,9.7,9.45,9.45,9.45,9.75,154,1478.35,17-MAR-2016,6,INE326B01027
58,ALOKTEXT,EQ,5.15,5.7,4.9,5.25,5.35,4.8,48618823,260020032.5,17-MAR-2016,19905,INE270A01011
59,ALPA,BE,36.15,38.95,35.25,38.3,37.55,37.1,52694,1927692.15,17-MAR-2016,307,INE385I01010
60,ALPHAGEO,EQ,590.75,592.0,565.0,570.2,567.0,589.95,7235,4176736.35,17-MAR-2016,358,INE137C01018
61,ALPSINDUS,EQ,4.0,4.5,4.0,4.2,4.2,4.25,34402,146793.75,17-MAR-2016,64,INE093B01015
62,ALSTOMT&D,EQ,415.0,419.0,388.1,396.65,389.8,408.1,120663,48617203.95,17-MAR-2016,9272,INE200A01026
63,AMARAJABAT,EQ,907.75,915.0,899.0,903.6,904.05,901.5,197200,178955747.75,17-MAR-2016,4948,INE885A01032
64,AMBIKCO,EQ,844.0,844.0,823.0,830.1,833.0,831.8,2769,2304866.4,17-MAR-2016,313,INE540G01014
65,AMBUJACEM,EQ,207.5,219.9,207.5,218.15,217.7,206.2,4253989,920432768.4,17-MAR-2016,62708,INE079A01024
66,AMDIND,EQ,31.4,35.95,31.0,35.0,35.1,31.9,96398,3300026.2,17-MAR-2016,482,INE005I01014
67,AMRUTANJAN,EQ,419.5,422.9,412.1,413.0,413.0,414.5,3640,1514833.25,17-MAR-2016,365,INE098F01023
68,AMTEKAUTO,EQ,30.5,31.6,29.8,30.45,30.35,30.25,1935556,59091683.05,17-MAR-2016,6620,INE130C01021
69,AMTL,EQ,25.75,28.0,25.0,25.1,25.0,25.65,5044,132069.45,17-MAR-2016,26,INE436N01029
70,ANANDAMRUB,EQ,12.25,12.25,12.25,12.25,12.25,12.25,50,612.5,17-MAR-2016,1,INE618N01014
71,ANANTRAJ,EQ,32.55,32.7,31.75,32.0,31.9,32.05,241210,7750557.05,17-MAR-2016,797,INE242C01024
72,ANDHRABANK,EQ,51.5,51.7,50.4,50.55,50.5,50.95,1887643,96400917.5,17-MAR-2016,7614,INE434A01013
73,ANDHRACEMT,EQ,7.65,7.8,7.5,7.5,7.5,7.45,48714,370334.15,17-MAR-2016,151,INE666E01012
74,ANDHRSUGAR,EQ,139.8,141.35,134.15,136.15,137.0,140.0,79187,10870966.95,17-MAR-2016,1789,INE715B01013
75,ANGIND,EQ,37.8,38.25,36.7,37.5,37.4,36.7,71832,2700849.9,17-MAR-2016,462,INE017D01010
76,ANIKINDS,BE,33.5,36.8,33.5,36.55,36.8,35.05,20943,760940.95,17-MAR-2016,62,INE087B01017
77,ANKITMETAL,EQ,1.75,1.75,1.7,1.7,1.7,1.75,14046,24230.5,17-MAR-2016,18,INE106I01010
78,ANSALAPI,EQ,18.6,18.6,17.7,17.8,17.8,17.7,62764,1124229.25,17-MAR-2016,311,INE436A01026
79,ANSALHSG,EQ,19.9,20.15,19.1,19.35,19.45,20.0,30532,595706.3,17-MAR-2016,203,INE880B01015
80,ANTGRAPHIC,BE,1.15,1.15,1.15,1.15,1.15,1.2,1,1.15,17-MAR-2016,1,INE414B01021
81,APARINDS,EQ,468.4,475.0,458.85,465.25,463.55,455.6,7188,3352615.2,17-MAR-2016,474,INE372A01015
82,APCOTEXIND,EQ,199.9,199.9,194.5,197.55,196.3,195.25,4615,908739.4,17-MAR-2016,135,INE116A01024
83,APLAPOLLO,EQ,651.0,661.0,647.0,659.8,656.4,644.25,12099,7972903.0,17-MAR-2016,1077,INE702C01019
84,APLLTD,EQ,630.0,630.0,602.65,611.7,606.0,621.6,52939,32669116.75,17-MAR-2016,3144,INE901L01018
85,APOLLOHOSP,EQ,1374.9,1391.4,1367.25,1382.9,1378.8,1360.0,206801,285556451.95,17-MAR-2016,20040,INE437A01024
86,APOLLOTYRE,EQ,170.5,171.8,168.9,170.4,169.9,168.4,1611633,274398912.5,17-MAR-2016,14139,INE438A01022
87,APOLSINHOT,EQ,218.75,218.75,200.0,200.5,200.0,209.3,1861,389383.75,17-MAR-2016,13,INE451F01016
88,APTECHT,EQ,57.25,58.8,56.35,56.85,56.5,56.55,159490,9206422.4,17-MAR-2016,1838,INE266F01018
89,ARCHIDPLY,EQ,43.3,44.9,43.15,43.65,44.0,43.55,17843,787405.95,17-MAR-2016,363,INE877I01016
90,ARCHIES,EQ,20.8,22.2,20.7,21.15,21.15,20.7,178689,3831431.75,17-MAR-2016,760,INE731A01020
91,ARCOTECH,EQ,359.0,366.35,351.45,354.25,352.0,358.8,259432,93414980.2,17-MAR-2016,2423,INE574I01027
92,ARIES,EQ,86.0,90.0,86.0,86.2,86.0,85.4,38072,3344169.95,17-MAR-2016,546,INE298I01015
93,ARIHANT,EQ,40.0,40.05,35.8,37.35,35.8,40.4,3395,133461.6,17-MAR-2016,20,INE413D01011
94,AROGRANITE,EQ,43.0,44.9,42.0,44.5,44.5,43.6,694,30486.0,17-MAR-2016,32,INE210C01013
95,ARROWCOAT,EQ,482.85,532.0,473.0,507.2,512.9,467.2,33523,16961789.35,17-MAR-2016,1868,INE570D01018
96,ARROWTEX,EQ,34.4,36.9,34.4,35.8,36.0,34.4,39563,1433449.6,17-MAR-2016,492,INE933J01015
97,ARSHIYA,EQ,30.25,31.25,29.25,29.7,29.6,29.6,21070,637062.9,17-MAR-2016,279,INE968D01022
98,ARSSINFRA,EQ,32.9,33.95,32.5,32.75,32.6,32.4,83802,2780370.1,17-MAR-2016,752,INE267I01010
99,ARVIND,EQ,275.9,278.35,270.0,271.4,270.15,271.55,2142418,587268477.9,17-MAR-2016,24399,INE034A01011
100,ARVINFRA,EQ,80.2,83.5,79.1,80.4,80.0,79.85,23203,1892574.8,17-MAR-2016,592,INE034S01021
101,ASAHIINDIA,EQ,135.95,138.8,135.95,137.65,137.95,135.85,27535,3792562.45,17-MAR-2016,583,INE439A01020
102,ASAHISONG,EQ,125.25,129.9,125.25,127.7,126.25,127.35,3725,481009.05,17-MAR-2016,90,INE228I01012
103,ASAL,EQ,34.0,36.0,34.0,34.9,34.1,33.0,622,21881.2,17-MAR-2016,10,INE900C01027
104,ASHAPURMIN,EQ,73.7,75.6,72.5,73.45,73.5,73.35,156430,11575003.35,17-MAR-2016,1211,INE348A01023
105,ASHIANA,EQ,132.05,136.15,131.6,134.45,136.15,132.0,13524,1807671.15,17-MAR-2016,391,INE365D01021
106,ASHIMASYN,EQ,12.2,12.3,11.8,11.9,11.85,11.8,8122,97121.6,17-MAR-2016,54,INE440A01010
107,ASHOKA,EQ,182.75,184.8,180.5,181.0,181.2,178.55,59468,10864228.2,17-MAR-2016,1526,INE442H01029
108,ASHOKLEY,EQ,97.0,97.85,94.8,95.25,95.1,96.25,7773639,750997378.4,17-MAR-2016,35799,INE208A01029
109,ASIANHOTNR,EQ,107.0,113.25,107.0,108.4,107.55,110.1,2122,233562.8,17-MAR-2016,29,INE363A01022
110,ASIANPAINT,EQ,870.0,876.0,865.1,872.55,872.4,864.9,965277,840849097.6,17-MAR-2016,57379,INE021A01026
111,ASIANTILES,EQ,145.0,146.75,142.95,143.85,143.8,143.6,19256,2776223.35,17-MAR-2016,344,INE022I01019
112,ASSAMCO,EQ,5.35,5.35,5.15,5.2,5.2,5.2,410649,2152648.25,17-MAR-2016,334,INE442A01024
113,ASTEC,EQ,191.8,197.15,188.55,191.1,188.6,191.05,23807,4573002.85,17-MAR-2016,492,INE563J01010
114,ASTRAL,EQ,400.0,403.85,392.0,400.6,400.0,403.45,11055,4394205.65,17-MAR-2016,391,INE006I01046
115,ASTRAMICRO,EQ,104.7,105.2,102.6,102.8,102.85,103.8,217346,22534289.2,17-MAR-2016,2383,INE386C01029
116,ASTRAZEN,EQ,1194.0,1214.0,1176.0,1186.2,1178.0,1177.1,26851,32175843.35,17-MAR-2016,2530,INE203A01020
117,ATFL,EQ,479.95,486.9,472.2,479.05,480.0,472.6,1201,577760.65,17-MAR-2016,76,INE209A01019
118,ATLANTA,EQ,35.4,35.4,32.6,33.05,32.8,33.25,23219,772114.45,17-MAR-2016,195,INE285H01022
119,ATLASCYCLE,EQ,185.6,187.85,183.0,183.85,183.5,182.95,3930,729943.75,17-MAR-2016,197,INE446A01017
120,ATUL,EQ,1505.5,1515.0,1482.5,1508.85,1501.1,1495.8,13858,20881870.5,17-MAR-2016,1042,INE100A01010
121,ATULAUTO,EQ,508.9,509.4,495.0,504.45,502.8,499.75,24595,12404150.0,17-MAR-2016,1647,INE951D01028
122,AURIONPRO,EQ,125.5,130.0,125.0,128.85,129.95,124.75,30114,3863839.75,17-MAR-2016,388,INE132H01018
123,AUROPHARMA,EQ,731.1,735.0,722.35,726.7,723.05,725.5,1435449,1047131435.85,17-MAR-2016,48156,INE406A01037
124,AUSTRAL,EQ,0.4,0.4,0.35,0.35,0.35,0.35,134852,48472.2,17-MAR-2016,37,INE455J01027
125,AUTOAXLES,EQ,555.0,559.95,546.0,549.7,546.0,554.35,516,285287.3,17-MAR-2016,47,INE449A01011
126,AUTOIND,EQ,39.0,39.0,36.05,36.6,37.0,37.25,7775,290539.6,17-MAR-2016,171,INE718H01014
127,AUTOLITIND,EQ,45.0,45.95,44.5,45.0,45.0,45.2,405,18198.95,17-MAR-2016,15,INE448A01013
128,AVANTIFEED,EQ,414.85,432.0,393.0,397.25,400.05,405.75,70549,29205324.55,17-MAR-2016,3194,INE871C01020
129,AVTNPL,EQ,28.0,29.4,27.75,27.9,27.85,27.95,68082,1908824.3,17-MAR-2016,188,INE488D01021
130,AXISBANK,EQ,430.0,435.0,425.5,428.15,426.65,424.6,11080947,4769312144.8,17-MAR-2016,159496,INE238A01034
131,AXISCADES,EQ,213.4,221.4,212.4,213.4,214.05,211.6,147241,31893746.9,17-MAR-2016,5354,INE555B01013
132,AXISGOLD,EQ,2607.0,2663.95,2607.0,2625.95,2630.0,2600.0,150,394598.75,17-MAR-2016,43,INF846K01347
133,AYMSYNTEX,EQ,97.85,104.8,94.8,101.45,103.0,94.35,79492,7941426.6,17-MAR-2016,942,INE193B01039
134,BAFNAPHARM,EQ,32.05,32.85,31.2,31.75,31.45,31.85,64042,2059522.5,17-MAR-2016,428,INE878I01014
135,BAGFILMS,EQ,4.25,4.25,3.75,3.75,3.8,4.2,545974,2140905.25,17-MAR-2016,713,INE116D01028
136,BAJAJ-AUTO,EQ,2256.55,2283.3,2250.15,2269.9,2270.0,2250.0,379252,860467446.35,17-MAR-2016,36737,INE917I01010
137,BAJAJCORP,EQ,380.5,397.0,380.0,381.4,380.0,384.35,31291,12033787.5,17-MAR-2016,2386,INE933K01021
138,BAJAJELEC,EQ,188.0,190.5,185.5,187.05,187.1,187.1,65010,12192879.35,17-MAR-2016,1554,INE193E01025
139,BAJAJFINSV,EQ,1645.0,1672.0,1631.1,1651.75,1643.7,1644.95,75753,125408528.3,17-MAR-2016,11780,INE918I01018
140,BAJAJHIND,EQ,18.9,19.15,18.05,18.15,18.15,18.75,5049415,94348563.6,17-MAR-2016,12538,INE306A01021
141,BAJAJHLDNG,EQ,1421.0,1470.0,1401.1,1459.9,1452.0,1401.15,9705,13975807.85,17-MAR-2016,1251,INE118A01012
142,BAJFINANCE,EQ,6535.3,6650.0,6495.7,6581.55,6530.3,6482.35,92792,609798336.75,17-MAR-2016,15878,INE296A01016
143,BALAJITELE,EQ,105.8,107.7,103.05,103.6,103.05,104.85,119150,12513249.55,17-MAR-2016,1411,INE794B01026
144,BALAMINES,EQ,137.0,151.0,135.2,141.6,142.4,137.35,148903,21597845.45,17-MAR-2016,2598,INE050E01027
145,BALKRISIND,EQ,613.0,613.35,601.0,607.2,610.0,604.75,8270,5022576.25,17-MAR-2016,830,INE787D01026
146,BALLARPUR,EQ,12.7,13.1,12.3,12.3,12.3,12.4,1216653,15221343.6,17-MAR-2016,2200,INE294A01037
147,BALMLAWRIE,EQ,547.5,555.0,538.0,551.75,555.0,544.1,18338,10063590.65,17-MAR-2016,542,INE164A01016
148,BALPHARMA,EQ,112.1,114.5,106.0,107.55,106.25,111.75,245857,26931436.05,17-MAR-2016,2682,INE083D01012
149,BALRAMCHIN,EQ,98.9,98.9,94.75,95.5,95.2,97.85,2309513,224146263.0,17-MAR-2016,12415,INE119A01028
150,BANARBEADS,EQ,46.6,48.45,46.5,48.25,48.3,46.6,865,41075.85,17-MAR-2016,14,INE655B01011
151,BANARISUG,EQ,1292.0,1319.85,1251.5,1255.25,1252.25,1305.0,1588,2045812.3,17-MAR-2016,157,INE459A01010
152,BANCOINDIA,EQ,99.2,106.7,98.55,102.8,102.9,98.6,181633,18846617.15,17-MAR-2016,2727,INE213C01025
153,BANG,EQ,13.6,14.1,13.6,14.1,14.1,13.5,194,2663.4,17-MAR-2016,2,INE863I01016
154,BANKBARODA,EQ,146.0,146.7,141.0,142.25,141.9,142.95,10441787,1509105394.3,17-MAR-2016,62546,INE028A01039
155,BANKBEES,EQ,1571.57,1575.16,1538.0,1544.7,1543.34,1553.92,48638,76118880.39,17-MAR-2016,425,INF732E01078
156,BANKINDIA,EQ,96.5,96.9,94.45,94.85,95.0,95.4,2445670,233786199.55,17-MAR-2016,16024,INE084A01016
157,BANSWRAS,EQ,87.2,88.55,86.2,87.85,88.0,86.95,1936,169719.2,17-MAR-2016,16,INE629D01012
158,BARTRONICS,EQ,9.15,9.15,8.9,8.95,9.0,8.9,31141,281426.25,17-MAR-2016,91,INE855F01034
159,BASF,EQ,783.0,783.0,754.0,772.5,771.2,776.9,8764,6744648.95,17-MAR-2016,993,INE373A01013
160,BASML,EQ,195.0,206.4,188.0,189.7,188.0,192.3,1978,384147.8,17-MAR-2016,41,INE186H01014
161,BATAINDIA,EQ,493.65,495.35,481.4,485.7,483.05,489.2,243159,119083269.25,17-MAR-2016,6768,INE176A01028
162,BAYERCROP,EQ,3557.1,3597.85,3455.35,3556.55,3552.0,3556.85,6510,22957203.15,17-MAR-2016,2554,INE462A01022
163,BBL,EQ,811.8,867.0,790.1,824.35,820.25,801.45,80872,67545663.25,17-MAR-2016,5310,INE464A01028
164,BBTC,EQ,373.8,378.4,361.0,365.55,365.5,366.05,18418,6771528.25,17-MAR-2016,788,INE050A01025
165,BDR,IT,91.0,91.0,91.0,91.0,0.0,96.0,16667,1516697.0,17-MAR-2016,1,INE766Q01014
166,BEARDSELL,EQ,127.5,139.4,126.35,126.35,126.35,132.95,64,8266.35,17-MAR-2016,5,INE520H01014
167,BEDMUTHA,EQ,11.9,12.5,11.5,11.75,11.6,11.75,4459,53154.25,17-MAR-2016,30,INE844K01012
168,BEL,EQ,1075.0,1096.0,1070.0,1083.9,1089.0,1065.1,366683,398683634.75,17-MAR-2016,24809,INE263A01016
169,BEML,EQ,1030.85,1049.7,1016.05,1024.7,1020.15,1030.85,148808,153080950.2,17-MAR-2016,9899,INE258A01016
170,BEPL,EQ,18.35,18.7,18.05,18.2,18.35,18.1,122947,2258531.55,17-MAR-2016,420,INE922A01025
171,BERGEPAINT,EQ,234.8,234.9,228.25,229.95,229.55,229.75,730038,168027515.9,17-MAR-2016,11112,INE463A01038
172,BFINVEST,EQ,133.8,137.4,131.1,132.05,132.4,131.95,105361,14192150.25,17-MAR-2016,2248,INE878K01010
173,BFUTILITIE,EQ,589.4,605.0,581.7,587.5,589.0,581.55,1454610,865244767.5,17-MAR-2016,34324,INE243D01012
174,BGLOBAL,BE,5.0,5.3,4.85,4.85,5.3,5.1,12590,63701.15,17-MAR-2016,20,INE224M01013
175,BGRENERGY,EQ,103.25,104.5,102.3,102.9,102.9,102.05,95109,9827766.2,17-MAR-2016,1392,INE661I01014
176,BHAGERIA,EQ,113.5,114.5,111.0,111.0,111.0,110.0,3470,393120.0,17-MAR-2016,17,INE354C01019
