,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,31.6,31.7,31.1,31.15,31.15,31.8,75816,2374692.25,11-APR-2014,392,INE144J01027
1,3IINFOTECH,EQ,7.95,7.95,7.75,7.85,7.85,7.95,842101,6600853.5,11-APR-2014,832,INE748C01020
2,3MINDIA,EQ,3701.0,3774.1,3701.0,3764.75,3774.0,3737.2,462,1733996.65,11-APR-2014,63,INE470A01017
3,8KMILES,EQ,109.95,109.95,104.95,105.0,107.0,106.1,5764,605327.25,11-APR-2014,21,INE650K01013
4,A2ZMES,EQ,12.0,12.7,11.8,12.1,12.1,12.1,766414,9411958.5,11-APR-2014,1672,INE619I01012
5,AARTIDRUGS,EQ,289.95,307.9,285.0,304.65,303.0,289.6,55758,16698995.0,11-APR-2014,1460,INE767A01016
6,AARTIIND,EQ,124.1,128.4,121.0,126.7,127.45,124.05,81757,10272063.35,11-APR-2014,1175,INE769A01020
7,AARVEEDEN,EQ,38.5,42.5,38.5,41.3,41.35,39.25,15462,636895.8,11-APR-2014,258,INE273D01019
8,ABAN,EQ,548.3,558.95,542.25,543.45,543.9,549.25,800151,439898436.25,11-APR-2014,20747,INE421A01028
9,ABB,EQ,835.7,839.9,818.7,823.7,825.8,840.15,58100,48222272.55,11-APR-2014,2813,INE117A01022
10,ABBOTINDIA,EQ,1791.05,1820.0,1781.0,1799.95,1782.0,1806.15,15742,28336323.8,11-APR-2014,234,INE358A01014
11,ABCIL,EQ,163.95,168.0,159.65,164.25,163.0,165.65,19618,3214843.8,11-APR-2014,640,INE605B01016
12,ABGSHIP,EQ,257.0,258.5,234.0,238.25,238.6,255.8,579171,142126124.05,11-APR-2014,8234,INE067H01016
13,ABIRLANUVO,EQ,1140.0,1162.75,1133.0,1150.0,1146.0,1140.15,211099,242530800.3,11-APR-2014,12000,INE069A01017
14,ACC,EQ,1385.5,1399.0,1371.0,1391.5,1390.0,1389.25,169388,235483593.95,11-APR-2014,11959,INE012A01025
15,ACCELYA,EQ,788.0,798.0,773.4,777.8,776.15,785.95,11863,9249471.5,11-APR-2014,1093,INE793A01012
16,ACE,EQ,21.2,21.5,19.1,19.5,19.55,21.3,842926,16949519.8,11-APR-2014,2663,INE731H01025
17,ACROPETAL,EQ,4.3,4.3,4.1,4.3,4.3,4.1,59108,251261.7,11-APR-2014,105,INE055L01013
18,ADANIENT,EQ,451.0,469.65,432.55,437.7,434.8,469.85,15227263,6843768671.35,11-APR-2014,201140,INE423A01024
19,ADANIPORTS,EQ,193.5,200.6,188.15,193.65,194.0,193.0,8768812,1703125061.2,11-APR-2014,89145,INE742F01042
20,ADANIPOWER,EQ,56.3,56.45,54.5,55.05,55.0,56.3,17833274,990792320.15,11-APR-2014,47368,INE814H01011
21,ADFFOODS,EQ,47.5,48.8,46.5,46.95,46.6,47.65,18402,872798.15,11-APR-2014,231,INE982B01019
22,ADHUNIK,EQ,46.0,47.3,44.0,44.8,44.6,46.4,180561,8254415.45,11-APR-2014,929,INE400H01019
23,ADORWELD,EQ,146.5,146.5,142.55,143.85,143.2,146.45,5012,724535.05,11-APR-2014,179,INE045A01017
24,ADSL,EQ,14.5,15.8,14.5,15.15,15.0,14.4,106346,1613657.1,11-APR-2014,429,INE102I01027
25,ADVANIHOTR,EQ,35.8,35.8,33.15,34.25,34.25,33.9,1853,63487.0,11-APR-2014,19,INE199C01026
26,ADVANTA,EQ,131.0,154.4,131.0,148.25,146.0,130.65,1185361,173691444.75,11-APR-2014,22762,INE517H01028
