,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,36.4,36.75,35.9,36.0,36.0,36.7,70179,2535566.4,03-MAR-2017,305,INE144J01027
1,3IINFOTECH,EQ,5.2,5.25,5.1,5.1,5.15,5.2,1065870,5509400.95,03-MAR-2017,504,INE748C01020
2,3MINDIA,EQ,10888.0,11079.95,10888.0,10919.1,10912.0,10985.65,446,4888494.5,03-MAR-2017,194,INE470A01017
3,549,MF,14.0,14.0,14.0,14.0,14.0,13.2,1,14.0,03-MAR-2017,1,INF903J01O26
4,63MOONS,EQ,79.0,79.95,78.5,78.95,79.2,79.3,38228,3016246.2,03-MAR-2017,1085,INE111B01023
5,8KMILES,EQ,636.9,643.7,613.0,620.9,620.0,638.55,127135,79607352.3,03-MAR-2017,5801,INE650K01021
6,A2ZINFRA,EQ,42.0,42.45,41.2,41.7,41.75,39.9,1817660,75749942.6,03-MAR-2017,9501,INE619I01012
7,AARTIDRUGS,EQ,585.35,593.75,568.3,582.0,583.0,590.6,5450,3185988.55,03-MAR-2017,354,INE767A01016
8,AARTIIND,EQ,763.95,769.6,735.05,741.75,740.0,763.95,28787,21459529.0,03-MAR-2017,3099,INE769A01020
9,AARVEEDEN,EQ,74.0,75.7,73.6,74.4,75.7,74.35,5674,420286.8,03-MAR-2017,79,INE273D01019
10,ABAN,EQ,233.6,234.75,229.1,230.95,230.7,233.55,857989,198560429.15,03-MAR-2017,15420,INE421A01028
11,ABB,EQ,1211.85,1235.0,1210.0,1228.4,1233.0,1211.85,24343,29753697.65,03-MAR-2017,2848,INE117A01022
12,ABBOTINDIA,EQ,4440.0,4495.0,4412.85,4476.25,4460.0,4445.0,1489,6638104.35,03-MAR-2017,289,INE358A01014
13,ABFRL,EQ,155.6,156.75,152.8,153.75,153.3,155.6,232770,35885411.5,03-MAR-2017,5344,INE647O01011
14,ABGSHIP,BZ,25.6,25.9,25.0,25.5,25.1,25.5,43473,1107155.6,03-MAR-2017,118,INE067H01016
15,ABIRLANUVO,EQ,1440.0,1490.0,1440.0,1485.65,1483.6,1442.45,350383,515864103.8,03-MAR-2017,11477,INE069A01017
16,ABMINTLTD,BE,171.0,171.0,165.0,165.0,165.0,163.55,262,44636.0,03-MAR-2017,12,INE251C01017
17,ACC,EQ,1405.0,1416.9,1390.9,1393.7,1392.95,1407.85,239017,334627403.95,03-MAR-2017,11562,INE012A01025
18,ACCELYA,EQ,1414.5,1498.45,1400.25,1489.85,1498.0,1415.1,8502,12466168.5,03-MAR-2017,1282,INE793A01012
19,ACE,EQ,53.0,54.8,52.65,54.4,54.55,53.15,144171,7760062.05,03-MAR-2017,920,INE731H01025
20,ADANIENT,EQ,93.2,95.3,92.95,94.7,94.7,93.6,3920942,369363986.7,03-MAR-2017,14325,INE423A01024
21,ADANIPORTS,EQ,293.0,297.4,291.0,296.35,296.95,293.85,2871834,848679288.6,03-MAR-2017,42269,INE742F01042
22,ADANIPOWER,EQ,36.8,37.4,36.3,37.05,37.1,36.7,3243224,119579890.25,03-MAR-2017,5567,INE814H01011
23,ADANITRANS,EQ,62.1,63.5,62.1,62.55,62.75,62.9,304703,19166785.05,03-MAR-2017,2557,INE931S01010
24,ADFFOODS,EQ,150.75,152.9,149.0,152.4,152.45,149.05,47946,7249555.1,03-MAR-2017,833,INE982B01019
25,ADHUNIK,EQ,7.55,7.85,7.55,7.6,7.55,7.65,95676,728551.3,03-MAR-2017,606,INE400H01019
26,ADHUNIKIND,EQ,112.0,113.6,106.1,108.05,106.2,109.65,35674,3852345.8,03-MAR-2017,305,INE452L01012
27,ADLABS,EQ,81.4,83.2,80.1,80.75,80.6,81.5,359831,29390770.75,03-MAR-2017,3044,INE172N01012
28,ADORWELD,EQ,297.0,302.3,295.55,298.95,298.0,300.0,1140,340515.75,03-MAR-2017,88,INE045A01017
29,ADSL,BE,30.5,30.65,30.05,30.45,30.45,30.8,19918,606031.85,03-MAR-2017,76,INE102I01027
30,ADVANIHOTR,EQ,52.4,52.4,51.6,51.7,52.0,52.45,2465,127896.35,03-MAR-2017,34,INE199C01026
31,ADVENZYMES,EQ,1728.0,1732.05,1703.95,1711.95,1710.0,1730.5,33054,56714756.2,03-MAR-2017,2281,INE837H01012
32,AEGISCHEM,EQ,195.6,199.95,192.85,194.2,194.25,197.05,218194,42570134.25,03-MAR-2017,2793,INE208C01025
33,AFL,EQ,69.05,78.8,68.35,77.1,75.8,67.9,356757,26618058.85,03-MAR-2017,4810,INE020G01017
34,AGARIND,EQ,497.0,511.0,494.0,499.55,497.4,498.65,68079,34126387.95,03-MAR-2017,2154,INE204E01012
35,AGCNET,EQ,89.45,90.0,88.05,89.05,88.05,88.0,2673,239063.85,03-MAR-2017,49,INE676A01019
36,AGRITECH,EQ,29.0,31.35,29.0,30.8,31.0,30.1,4599,138957.05,03-MAR-2017,53,INE449G01018
37,AGROPHOS,SM,22.5,22.5,21.0,21.5,21.2,23.2,78000,1681800.0,03-MAR-2017,13,INE740V01019
38,AHLEAST,EQ,217.5,227.0,217.5,223.0,223.0,222.95,353,78394.35,03-MAR-2017,13,INE926K01017
39,AHLUCONT,EQ,320.8,325.0,314.0,318.35,318.9,319.9,36395,11615550.25,03-MAR-2017,923,INE758C01029
40,AHLWEST,EQ,210.15,212.0,210.0,211.4,212.0,213.0,755,159602.6,03-MAR-2017,35,INE915K01010
41,AIAENG,EQ,1471.1,1479.3,1437.0,1443.9,1440.6,1469.5,20440,29614174.2,03-MAR-2017,3721,INE212H01026
42,AICHAMP,BE,24.75,26.25,24.2,26.25,26.25,25.0,272,6929.0,03-MAR-2017,8,INE768E01024
43,AIFL,EQ,392.0,392.4,374.8,380.55,377.05,388.15,40709,15732456.1,03-MAR-2017,1143,INE428O01016
44,AJANTPHARM,EQ,1708.0,1726.85,1700.1,1723.4,1721.4,1710.6,48510,83278616.1,03-MAR-2017,4953,INE031B01049
45,AJMERA,EQ,183.0,191.9,182.0,189.7,189.6,182.85,276694,52180219.2,03-MAR-2017,5842,INE298G01027
46,AKSHOPTFBR,EQ,22.65,22.7,22.15,22.25,22.15,22.45,1188088,26594901.0,03-MAR-2017,1977,INE523B01011
47,AKZOINDIA,EQ,1520.0,1547.75,1520.0,1543.2,1547.7,1519.25,13291,20423028.2,03-MAR-2017,938,INE133A01011
48,ALANKIT,EQ,27.5,27.55,26.25,26.95,26.6,27.5,1829206,49905246.35,03-MAR-2017,1697,INE914E01040
49,ALBERTDAVD,EQ,333.1,336.95,331.35,334.2,333.0,335.65,1156,386888.0,03-MAR-2017,76,INE155C01010
50,ALBK,EQ,69.8,70.35,68.8,69.05,69.1,70.15,4591143,318780001.25,03-MAR-2017,14578,INE428A01015
51,ALCHEM,EQ,21.95,21.95,20.8,20.95,21.0,21.45,26546,564667.6,03-MAR-2017,134,INE964B01033
52,ALEMBICLTD,EQ,37.8,39.2,36.9,37.3,37.35,37.95,625163,23736625.6,03-MAR-2017,2730,INE426A01027
53,ALICON,EQ,390.0,399.0,380.0,394.25,398.95,389.0,3311,1291181.95,03-MAR-2017,147,INE062D01024
54,ALKALI,EQ,80.4,82.0,78.55,79.1,79.5,81.65,8788,700810.9,03-MAR-2017,176,INE773I01017
55,ALKEM,EQ,2123.0,2150.0,2123.0,2138.95,2130.05,2142.1,21328,45608011.1,03-MAR-2017,4626,INE540L01014
56,ALKYLAMINE,EQ,373.4,375.05,367.0,373.35,367.0,373.4,2626,977321.55,03-MAR-2017,112,INE150B01021
57,ALLCARGO,EQ,166.9,169.25,165.25,166.4,166.5,167.0,41162,6875203.7,03-MAR-2017,930,INE418H01029
58,ALLSEC,EQ,402.0,414.25,402.0,411.35,412.5,407.6,17308,7086221.45,03-MAR-2017,646,INE835G01018
59,ALMONDZ,EQ,14.2,14.35,14.05,14.3,14.35,14.5,701,9974.2,03-MAR-2017,7,INE326B01027
60,ALOKTEXT,EQ,3.25,3.3,3.2,3.25,3.3,3.25,1849818,6032373.15,03-MAR-2017,638,INE270A01011
61,ALPA,BE,40.1,41.95,39.15,41.1,41.1,40.5,6781,274821.05,03-MAR-2017,30,INE385I01010
62,ALPHAGEO,EQ,943.6,960.0,943.6,952.9,947.15,951.3,9697,9238690.65,03-MAR-2017,723,INE137C01018
63,ALPSINDUS,EQ,7.2,7.3,7.1,7.2,7.2,7.2,33925,244339.35,03-MAR-2017,76,INE093B01015
64,AMARAJABAT,EQ,850.5,853.75,835.95,850.1,848.55,844.55,368741,312228609.3,03-MAR-2017,14892,INE885A01032
