,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,28.0,28.75,27.15,27.55,27.35,27.75,26191,739309.35,02-FEB-2016,200,INE144J01027
1,3IINFOTECH,EQ,4.85,5.4,4.8,5.0,5.05,4.75,7069916,36386626.05,02-FEB-2016,3988,INE748C01020
2,3MINDIA,EQ,9989.95,9990.0,9820.0,9881.25,9820.0,9878.35,351,3481497.75,02-FEB-2016,89,INE470A01017
3,8KMILES,EQ,2172.0,2235.0,2111.0,2126.0,2130.0,2186.65,32272,70787038.5,02-FEB-2016,3461,INE650K01013
4,A2ZINFRA,EQ,24.05,24.3,22.95,23.15,23.15,23.9,134636,3171269.85,02-FEB-2016,794,INE619I01012
5,AARTIDRUGS,EQ,520.75,535.0,520.75,529.8,525.6,528.65,5548,2947033.8,02-FEB-2016,399,INE767A01016
6,AARTIIND,EQ,483.0,489.0,480.0,480.6,480.05,483.6,6955,3356719.85,02-FEB-2016,926,INE769A01020
7,AARVEEDEN,EQ,54.0,68.85,53.0,65.25,64.95,57.4,87896,5641867.35,02-FEB-2016,738,INE273D01019
8,ABAN,EQ,183.7,184.8,178.6,179.9,179.5,189.7,1102302,199702116.05,02-FEB-2016,16773,INE421A01028
9,ABB,EQ,1000.2,1024.5,1000.2,1014.6,1012.55,998.8,164683,166509353.45,02-FEB-2016,4870,INE117A01022
10,ABBOTINDIA,EQ,5197.65,5265.0,5051.1,5091.75,5085.0,5095.6,4918,25495984.45,02-FEB-2016,1287,INE358A01014
11,ABFRL,EQ,217.3,221.55,215.0,219.8,219.0,219.75,24697,5399938.35,02-FEB-2016,1010,INE647O01011
12,ABGSHIP,EQ,58.5,58.8,56.85,57.0,57.15,58.1,148084,8513501.0,02-FEB-2016,821,INE067H01016
13,ABIRLANUVO,EQ,869.2,885.0,865.0,870.05,871.0,875.85,222328,194942174.4,02-FEB-2016,9929,INE069A01017
14,ACC,EQ,1266.8,1283.0,1253.05,1261.35,1255.1,1271.85,204605,259863412.45,02-FEB-2016,10235,INE012A01025
15,ACCELYA,EQ,897.1,912.0,882.25,905.05,905.45,910.0,1741,1568670.2,02-FEB-2016,155,INE793A01012
16,ACE,EQ,40.5,41.15,39.0,39.5,39.4,40.5,99419,4012679.95,02-FEB-2016,675,INE731H01025
17,ACROPETAL,EQ,3.2,3.25,3.2,3.2,3.2,3.3,13161,42169.8,02-FEB-2016,19,INE055L01013
18,ADANIENT,EQ,74.2,74.75,71.2,72.05,71.85,74.55,2332755,170724496.2,02-FEB-2016,10799,INE423A01024
19,ADANIPORTS,EQ,221.95,223.95,211.7,213.25,214.5,221.1,2971041,651136277.7,02-FEB-2016,47008,INE742F01042
20,ADANIPOWER,EQ,28.55,28.7,27.05,27.25,27.15,28.6,5547435,155061740.1,02-FEB-2016,7120,INE814H01011
21,ADANITRANS,EQ,39.4,39.85,33.9,34.3,34.15,39.1,5527944,200641863.45,02-FEB-2016,15649,INE931S01010
22,ADFFOODS,EQ,92.6,92.65,87.2,88.45,87.9,91.65,24038,2170013.9,02-FEB-2016,450,INE982B01019
23,ADHUNIK,EQ,12.8,13.2,12.6,12.7,12.75,12.95,36773,472599.8,02-FEB-2016,169,INE400H01019
24,ADI,EQ,222.05,233.95,222.05,224.3,224.0,226.3,709,159347.65,02-FEB-2016,32,INE959A01019
25,ADLABS,EQ,112.55,115.9,109.5,110.7,111.0,111.45,201198,22604120.9,02-FEB-2016,4191,INE172N01012
26,ADORWELD,EQ,272.0,272.0,261.0,262.4,261.0,266.75,10449,2754610.65,02-FEB-2016,95,INE045A01017
27,ADSL,EQ,48.35,49.0,45.5,46.2,45.8,47.9,133559,6346728.7,02-FEB-2016,876,INE102I01027
28,ADVANIHOTR,EQ,49.75,49.75,44.5,49.35,49.5,46.15,2245,110446.5,02-FEB-2016,32,INE199C01026
29,ADVANTA,EQ,445.0,445.0,420.3,423.15,420.4,444.1,18039,7761845.75,02-FEB-2016,1124,INE517H01028
30,AEGISCHEM,EQ,100.35,102.2,95.8,96.8,96.85,99.6,69786,6904839.6,02-FEB-2016,1077,INE208C01025
31,AFL,EQ,71.0,73.4,68.5,69.5,69.9,71.85,27481,1959643.45,02-FEB-2016,278,INE020G01017
32,AGARIND,EQ,161.5,162.0,152.25,154.3,152.25,160.0,2882,455109.5,02-FEB-2016,107,INE204E01012
33,AGCNET,EQ,79.5,83.35,79.0,79.5,80.0,79.5,638,51052.1,02-FEB-2016,29,INE676A01019
34,AGRITECH,BE,11.5,11.5,10.65,10.65,10.65,11.2,3792,40714.8,02-FEB-2016,17,INE449G01018
35,AGRODUTCH,EQ,3.6,3.6,3.15,3.25,3.2,3.55,28306,92657.05,02-FEB-2016,36,INE135B01014
36,AHIMSA,SM,25.2,25.2,25.2,25.2,25.2,25.0,6000,151200.0,02-FEB-2016,1,INE136T01014
37,AHLEAST,EQ,155.0,155.0,145.05,151.35,150.0,153.4,501,74228.1,02-FEB-2016,54,INE926K01017
