,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,30.75,30.75,30.2,30.7,30.75,30.5,121890,3714205.3,26-JUL-2013,151,INE144J01027
1,3IINFOTECH,EQ,4.55,4.65,4.35,4.4,4.45,4.5,754879,3363963.3,26-JUL-2013,870,INE748C01020
2,3MINDIA,EQ,3450.0,3455.0,3440.0,3447.35,3447.0,3446.95,292,1004904.4,26-JUL-2013,24,INE470A01017
3,A2ZMES,EQ,11.0,11.0,10.1,10.35,10.4,10.9,51550,549529.0,26-JUL-2013,449,INE619I01012
4,AANJANEYA,EQ,39.0,40.0,36.0,36.0,36.0,40.0,53143,1947383.2,26-JUL-2013,654,INE928K01013
5,AARTIDRUGS,EQ,228.0,230.0,212.0,213.75,213.0,230.85,11351,2480657.65,26-JUL-2013,606,INE767A01016
6,AARTIIND,EQ,80.0,80.75,76.0,78.0,79.1,78.85,22759,1781606.0,26-JUL-2013,5545,INE769A01020
7,AARVEEDEN,EQ,36.45,37.75,36.0,36.55,36.7,36.4,6906,254119.5,26-JUL-2013,52,INE273D01019
8,ABAN,EQ,237.1,239.9,231.0,233.85,234.0,239.0,126597,29711786.15,26-JUL-2013,4665,INE421A01028
9,ABB,EQ,547.0,551.0,535.0,538.65,539.0,545.7,24037,13045366.05,26-JUL-2013,1563,INE117A01022
10,ABBOTINDIA,EQ,1429.0,1430.0,1382.5,1414.95,1416.0,1406.3,2048,2873107.45,26-JUL-2013,257,INE358A01014
11,ABCIL,EQ,73.0,74.0,71.85,72.0,72.0,73.6,1090,78860.35,26-JUL-2013,34,INE605B01016
12,ABGSHIP,EQ,269.55,272.0,264.0,269.05,265.15,268.05,7360,1980068.95,26-JUL-2013,382,INE067H01016
13,ABIRLANUVO,EQ,1154.9,1160.0,1126.2,1139.75,1138.1,1141.5,120288,136989552.45,26-JUL-2013,14797,INE069A01017
14,ACC,EQ,1196.1,1222.4,1185.0,1211.9,1216.0,1195.25,144561,174510306.4,26-JUL-2013,7440,INE012A01025
15,ACCELYA,EQ,570.0,574.95,518.4,544.2,542.45,570.1,22943,12506141.8,26-JUL-2013,1594,INE793A01012
16,ACE,EQ,10.75,11.7,10.1,11.15,11.7,10.55,440735,4787788.9,26-JUL-2013,1214,INE731H01025
17,ACROPETAL,EQ,4.65,4.9,4.25,4.35,4.3,4.7,54410,238426.6,26-JUL-2013,186,INE055L01013
18,ADANIENT,EQ,195.1,197.0,189.0,191.95,192.5,194.45,1286492,246609568.65,26-JUL-2013,13180,INE423A01024
19,ADANIPORTS,EQ,148.0,148.3,142.65,143.6,143.35,147.35,1729266,248513839.45,26-JUL-2013,22725,INE742F01042
20,ADANIPOWER,EQ,41.8,41.8,39.5,40.15,40.0,41.0,1290406,51692359.15,26-JUL-2013,8165,INE814H01011
21,ADFFOODS,EQ,46.7,47.0,44.95,45.1,45.1,45.7,2370,107038.4,26-JUL-2013,71,INE982B01019
22,ADHUNIK,EQ,22.7,23.3,21.8,22.5,22.4,22.6,35115,789819.5,26-JUL-2013,364,INE400H01019
23,ADORWELD,EQ,102.0,104.0,99.05,100.1,99.15,101.15,3396,342654.7,26-JUL-2013,233,INE045A01017
24,ADSL,BE,11.75,11.75,11.5,11.5,11.55,11.65,18116,210038.55,26-JUL-2013,27,INE102I01027
25,ADVANTA,EQ,111.0,119.9,107.25,113.65,113.1,111.35,79492,9171588.45,26-JUL-2013,3163,INE517H01028
26,AEGISCHEM,EQ,118.2,122.75,118.2,120.45,121.5,118.95,2896,349321.55,26-JUL-2013,144,INE208C01017
27,AFL,EQ,23.25,23.25,20.0,21.6,22.45,21.75,8672,184218.65,26-JUL-2013,160,INE020G01017
28,AFTEK,EQ,4.2,4.45,4.1,4.15,4.2,4.35,23061,96952.5,26-JUL-2013,104,INE796A01023
