,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,30.75,30.9,30.25,30.3,30.4,30.6,72623,2206941.85,30-SEP-2013,671,INE144J01027
1,3IINFOTECH,EQ,5.7,6.5,5.65,6.3,6.4,5.55,4507129,28015840.25,30-SEP-2013,10657,INE748C01020
2,3MINDIA,EQ,3150.0,3150.0,3017.1,3040.45,3017.1,3104.0,305,933270.4,30-SEP-2013,42,INE470A01017
3,A2ZMES,EQ,9.9,9.9,9.3,9.4,9.4,9.75,48170,457455.7,30-SEP-2013,574,INE619I01012
4,AARTIDRUGS,EQ,179.0,181.7,171.05,177.2,178.65,177.5,14707,2534764.25,30-SEP-2013,137,INE767A01016
5,AARTIIND,EQ,68.9,71.3,68.9,70.25,70.25,70.25,5188,361243.65,30-SEP-2013,189,INE769A01020
6,AARVEEDEN,EQ,30.25,30.95,30.25,30.3,30.3,31.0,729,22386.05,30-SEP-2013,62,INE273D01019
7,ABAN,EQ,219.0,219.0,212.5,214.35,213.8,221.55,272310,58537812.65,30-SEP-2013,7061,INE421A01028
8,ABB,EQ,548.8,554.0,539.4,542.45,542.0,549.1,25354,13872595.45,30-SEP-2013,1685,INE117A01022
9,ABBOTINDIA,EQ,1370.0,1377.0,1352.0,1375.4,1377.0,1358.0,661,906879.1,30-SEP-2013,87,INE358A01014
10,ABCIL,BE,83.5,83.5,82.0,82.25,82.25,83.5,1504,125306.75,30-SEP-2013,10,INE605B01016
11,ABGSHIP,EQ,330.2,356.8,322.25,343.25,345.0,342.05,1352119,459631734.35,30-SEP-2013,42497,INE067H01016
12,ABIRLANUVO,EQ,1216.0,1253.0,1202.55,1242.2,1249.0,1228.05,203320,250581736.1,30-SEP-2013,12326,INE069A01017
13,ACC,EQ,1099.7,1117.75,1085.7,1111.95,1112.0,1099.55,195561,216151811.55,30-SEP-2013,10721,INE012A01025
14,ACCELYA,EQ,571.0,573.0,551.0,559.35,560.05,574.35,3480,1948308.15,30-SEP-2013,310,INE793A01012
15,ACE,EQ,8.3,8.45,8.15,8.2,8.25,8.3,68366,563061.2,30-SEP-2013,151,INE731H01025
