,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,33.0,33.0,32.1,32.2,32.2,32.3,35089,1148545.8,18-JUN-2015,82,INE144J01027
1,3IINFOTECH,EQ,5.3,5.3,5.3,5.3,5.3,5.05,242293,1284152.9,18-JUN-2015,209,INE748C01020
2,3MINDIA,EQ,8203.0,8335.0,8203.0,8280.7,8335.0,8197.45,247,2047329.45,18-JUN-2015,144,INE470A01017
3,8KMILES,EQ,703.0,758.0,700.05,736.6,735.0,699.45,70860,52330733.7,18-JUN-2015,4413,INE650K01013
4,A2ZINFRA,EQ,13.45,14.25,13.2,13.85,13.85,13.15,149383,2072580.75,18-JUN-2015,594,INE619I01012
5,AARTIDRUGS,EQ,606.3,613.25,602.15,605.9,609.0,605.85,14162,8608374.6,18-JUN-2015,976,INE767A01016
6,AARTIIND,EQ,320.0,325.5,317.35,322.95,322.85,319.65,17530,5659855.9,18-JUN-2015,799,INE769A01020
7,AARVEEDEN,EQ,40.0,40.95,39.7,40.5,40.5,40.85,798,32039.0,18-JUN-2015,17,INE273D01019
8,ABAN,EQ,313.35,328.95,312.3,320.0,318.95,311.55,1811382,581365706.25,18-JUN-2015,35430,INE421A01028
9,ABB,EQ,1305.5,1329.8,1300.3,1311.3,1306.0,1315.35,17393,22866738.2,18-JUN-2015,1829,INE117A01022
10,ABBOTINDIA,EQ,3829.05,3875.0,3829.05,3857.25,3864.7,3822.0,706,2723252.05,18-JUN-2015,117,INE358A01014
11,ABCIL,EQ,206.1,207.95,205.5,206.35,206.2,206.8,5393,1110156.3,18-JUN-2015,38,INE605B01016
12,ABGSHIP,EQ,173.9,177.0,171.0,172.25,171.25,172.35,282267,48993276.35,18-JUN-2015,4239,INE067H01016
13,ABIRLANUVO,EQ,1720.0,1749.0,1705.05,1743.2,1741.0,1716.8,110361,191241633.45,18-JUN-2015,6308,INE069A01017
14,ACC,EQ,1413.3,1422.6,1404.0,1413.75,1414.0,1410.6,263151,371429577.0,18-JUN-2015,14076,INE012A01025
15,ACCELYA,EQ,995.2,998.0,990.95,995.35,998.0,1000.4,1231,1224688.8,18-JUN-2015,109,INE793A01012
16,ACE,EQ,43.1,46.5,42.75,45.75,45.6,42.9,1130342,51129347.05,18-JUN-2015,6584,INE731H01025
17,ACROPETAL,EQ,2.55,2.95,2.55,2.85,2.85,2.7,15898,44586.1,18-JUN-2015,32,INE055L01013
18,ADANIENT,EQ,100.15,101.3,98.1,99.65,98.85,99.25,4264660,423794572.45,18-JUN-2015,31380,INE423A01024
19,ADANIPORTS,EQ,312.3,313.7,309.35,311.0,310.5,311.0,2616024,814380664.15,18-JUN-2015,41090,INE742F01042
20,ADANIPOWER,EQ,29.5,29.5,26.5,27.45,27.4,29.4,28540653,793955224.3,18-JUN-2015,53420,INE814H01011
21,ADFFOODS,EQ,63.8,63.8,62.9,63.05,62.95,63.5,26315,1663917.75,18-JUN-2015,246,INE982B01019
22,ADHUNIK,EQ,14.6,15.15,14.45,14.8,14.75,14.7,25761,381371.85,18-JUN-2015,593,INE400H01019
23,ADI,EQ,260.0,260.0,250.0,254.1,254.0,264.3,2202,554697.8,18-JUN-2015,46,INE959A01019
24,ADLABS,EQ,148.9,163.5,148.9,158.6,158.2,149.5,227465,36081577.4,18-JUN-2015,4379,INE172N01012
25,ADORWELD,EQ,236.95,237.0,230.6,235.0,235.0,231.6,5405,1270010.35,18-JUN-2015,426,INE045A01017
26,ADSL,EQ,19.75,20.2,19.6,19.9,19.95,19.6,17327,345462.55,18-JUN-2015,124,INE102I01027
27,ADVANIHOTR,EQ,54.95,54.95,51.5,53.0,53.0,52.5,6760,363894.75,18-JUN-2015,26,INE199C01026
28,ADVANTA,EQ,421.0,432.8,416.25,418.6,419.4,418.6,61354,25979834.2,18-JUN-2015,4152,INE517H01028
29,AEGISCHEM,EQ,731.9,745.5,725.15,726.55,729.0,725.35,41527,30613385.65,18-JUN-2015,1524,INE208C01017
30,AFL,EQ,71.9,71.9,69.25,69.6,69.95,69.0,2217,155164.4,18-JUN-2015,44,INE020G01017
31,AGARIND,EQ,100.2,103.5,99.1,101.85,101.85,99.75,1329,134345.9,18-JUN-2015,25,INE204E01012
32,AGCNET,EQ,102.0,104.9,100.65,103.1,103.5,102.0,6936,714298.0,18-JUN-2015,181,INE676A01019
33,AGRODUTCH,BE,3.8,3.95,3.8,3.95,3.95,3.8,20001,78024.1,18-JUN-2015,39,INE135B01014
34,AHLEAST,EQ,168.0,172.0,168.0,172.0,172.0,167.3,79,13411.05,18-JUN-2015,12,INE926K01017
35,AHLUCONT,EQ,205.25,216.75,204.9,206.5,206.0,206.15,39030,8176557.8,18-JUN-2015,1397,INE758C01029
