,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,42.35,42.9,42.05,42.45,42.25,42.2,59141,2509198.0,29-MAY-2018,583,INE144J01027
1,21STCENMGM,EQ,39.15,39.85,38.4,38.4,38.4,39.15,11376,444488.1,29-MAY-2018,20,INE253B01015
2,3IINFOTECH,EQ,4.8,5.0,4.7,4.95,5.0,4.8,2021943,9839647.7,29-MAY-2018,1090,INE748C01020
3,3MINDIA,EQ,19960.55,20039.95,19794.55,19983.5,19925.0,19802.1,1240,24760807.75,29-MAY-2018,434,INE470A01017
4,3PLAND,EQ,15.4,15.4,13.0,14.2,14.2,13.9,570,7664.85,29-MAY-2018,24,INE105C01023
5,5PAISA,EQ,408.0,409.5,392.3,409.5,409.5,390.0,5327,2164016.75,29-MAY-2018,300,INE618L01018
6,63MOONS,EQ,80.15,81.05,78.95,79.15,78.95,80.2,117152,9357318.3,29-MAY-2018,1889,INE111B01023
7,8KMILES,EQ,625.2,648.0,623.85,638.1,637.9,623.35,236383,150556143.0,29-MAY-2018,8211,INE650K01021
8,A2ZINFRA,EQ,25.5,26.1,23.8,24.1,24.2,25.7,565619,14137635.65,29-MAY-2018,1821,INE619I01012
9,AARTIDRUGS,EQ,529.05,533.0,523.0,524.85,523.0,534.9,7347,3867752.95,29-MAY-2018,342,INE767A01016
10,AARTIIND,EQ,1229.0,1229.0,1205.0,1208.9,1205.0,1218.15,25555,31022992.75,29-MAY-2018,3865,INE769A01020
11,AARVEEDEN,EQ,41.7,41.7,37.5,37.7,37.5,38.6,21333,815382.35,29-MAY-2018,120,INE273D01019
12,AARVI,SM,80.5,82.0,79.7,81.95,81.95,83.85,24000,1950500.0,29-MAY-2018,10,INE754X01016
13,ABAN,EQ,154.5,158.75,154.15,155.8,155.65,155.1,542073,84815476.05,29-MAY-2018,6764,INE421A01028
14,ABB,EQ,1211.6,1231.15,1192.85,1225.9,1225.0,1203.3,39185,47908710.65,29-MAY-2018,2938,INE117A01022
15,ABBOTINDIA,EQ,6740.0,6767.0,6655.05,6686.1,6698.0,6773.65,2143,14378479.7,29-MAY-2018,1136,INE358A01014
16,ABCAPITAL,EQ,146.0,151.7,145.2,149.1,149.0,146.15,2030951,303997059.9,29-MAY-2018,19330,INE674K01013
17,ABFRL,EQ,145.35,149.9,145.35,149.25,149.4,146.35,432826,64106632.5,29-MAY-2018,4462,INE647O01011
18,ABGSHIP,BZ,6.4,6.45,6.3,6.45,6.45,6.15,794,5102.0,29-MAY-2018,13,INE067H01016
19,ABMINTLTD,BE,20.6,20.6,20.6,20.6,20.6,20.6,1,20.6,29-MAY-2018,1,INE251C01017
20,ACC,EQ,1321.05,1337.7,1301.2,1310.0,1310.05,1322.5,894054,1172847631.45,29-MAY-2018,28856,INE012A01025
21,ACCELYA,EQ,1171.05,1179.0,1159.2,1178.2,1179.0,1169.95,2275,2659788.45,29-MAY-2018,436,INE793A01012
22,ACE,EQ,170.55,173.6,166.55,168.85,168.85,170.8,297662,50706977.7,29-MAY-2018,4277,INE731H01025
23,ADANIENT,EQ,128.0,129.35,122.75,123.7,122.9,129.65,4091255,514583367.15,29-MAY-2018,23697,INE423A01024
24,ADANIPORTS,EQ,379.8,383.85,373.2,377.85,375.0,378.9,3394813,1290418376.15,29-MAY-2018,54363,INE742F01042
25,ADANIPOWER,EQ,20.15,21.55,20.05,20.5,20.4,20.25,19334210,400900458.0,29-MAY-2018,19389,INE814H01011
26,ADANITRANS,EQ,136.9,164.0,134.0,140.05,139.3,138.95,1039569,146482188.65,29-MAY-2018,10583,INE931S01010
27,ADFFOODS,EQ,259.0,265.9,256.15,263.85,265.9,259.2,81492,21273795.5,29-MAY-2018,2179,INE982B01019
28,ADHUNIK,EQ,3.65,3.8,3.65,3.8,3.8,3.65,50601,191915.5,29-MAY-2018,58,INE400H01019
29,ADHUNIKIND,EQ,56.7,57.85,52.35,57.4,57.85,55.1,128657,7175481.9,29-MAY-2018,268,INE452L01012
30,ADLABS,EQ,42.3,44.0,41.65,41.75,41.7,43.05,57728,2458795.8,29-MAY-2018,523,INE172N01012
31,ADORWELD,EQ,365.8,378.0,359.0,362.2,364.95,365.6,14211,5220166.5,29-MAY-2018,589,INE045A01017
32,ADROITINFO,EQ,29.0,30.7,29.0,30.0,30.0,29.2,2825,84330.8,29-MAY-2018,28,INE737B01033
33,ADSL,EQ,20.45,20.45,18.5,18.55,18.5,18.85,53941,1046049.4,29-MAY-2018,249,INE102I01027
34,ADVANIHOTR,EQ,57.0,58.55,55.5,58.0,58.5,57.75,7336,421191.6,29-MAY-2018,108,INE199C01026
35,ADVENZYMES,EQ,228.0,244.9,225.4,239.5,234.5,221.45,1497598,349980716.35,29-MAY-2018,23513,INE837H01020
36,AEGISCHEM,EQ,277.8,277.8,260.3,266.9,266.0,276.65,68652,18564126.95,29-MAY-2018,1941,INE208C01025
37,AFL,EQ,57.0,57.35,55.15,56.5,55.85,54.65,20220,1154098.9,29-MAY-2018,112,INE020G01017
38,AGARIND,EQ,245.1,253.0,245.1,251.45,251.45,254.1,270,67079.05,29-MAY-2018,15,INE204E01012
39,AGCNET,EQ,115.45,124.9,115.15,124.3,124.85,113.55,21513,2635548.9,29-MAY-2018,396,INE676A01019
40,AGLSL,EQ,94.2,95.75,93.8,95.5,95.75,94.3,8681,820431.7,29-MAY-2018,48,INE517U01013
41,AGRITECH,EQ,121.4,122.0,119.0,120.35,121.05,118.25,18658,2246372.8,29-MAY-2018,375,INE449G01018
42,AGROPHOS,SM,40.7,40.75,40.7,40.75,40.75,41.0,24000,977400.0,29-MAY-2018,4,INE740V01019
43,AHLEAST,EQ,300.55,305.8,300.0,304.95,305.8,300.35,1194,360313.2,29-MAY-2018,179,INE926K01017
44,AHLUCONT,EQ,403.9,403.9,394.6,400.65,401.0,396.6,45097,17935002.0,29-MAY-2018,383,INE758C01029
45,AHLWEST,BE,278.0,288.8,278.0,288.8,288.8,275.05,968,278604.45,29-MAY-2018,13,INE915K01010
