,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,27.25,27.25,26.2,26.45,26.5,26.75,15277,408478.0,11-MAR-2016,125,INE144J01027
1,3IINFOTECH,EQ,4.45,4.5,4.35,4.35,4.35,4.4,983468,4332535.05,11-MAR-2016,394,INE748C01020
2,3MINDIA,EQ,10800.0,10800.0,10700.05,10740.75,10750.0,10850.0,599,6453786.3,11-MAR-2016,134,INE470A01017
3,549,MF,7.0,7.0,7.0,7.0,7.0,7.31,1,7.0,11-MAR-2016,1,INF903J01O26
4,8KMILES,EQ,1907.8,2076.0,1907.8,2012.75,2010.6,1903.9,126763,254760070.75,11-MAR-2016,13785,INE650K01013
5,A2ZINFRA,EQ,20.6,20.6,19.8,20.1,20.1,20.05,123944,2501110.25,11-MAR-2016,660,INE619I01012
6,AARTIDRUGS,EQ,490.0,498.65,481.1,487.4,486.0,492.9,3614,1768034.35,11-MAR-2016,332,INE767A01016
7,AARTIIND,EQ,473.95,486.0,465.55,483.8,483.95,471.15,27513,13171601.0,11-MAR-2016,1248,INE769A01020
8,AARVEEDEN,EQ,55.4,55.4,52.3,52.4,52.5,53.65,1392,73198.9,11-MAR-2016,23,INE273D01019
9,ABAN,EQ,189.6,192.45,185.25,188.1,188.75,188.4,1385301,261460796.6,11-MAR-2016,18929,INE421A01028
10,ABB,EQ,1152.0,1176.0,1140.0,1143.45,1140.0,1151.1,39575,45664455.65,11-MAR-2016,4206,INE117A01022
11,ABBOTINDIA,EQ,4902.0,4960.0,4840.0,4856.95,4840.0,4901.4,1379,6733954.25,11-MAR-2016,495,INE358A01014
12,ABFRL,EQ,149.3,154.1,148.6,149.95,150.2,149.65,207219,31249570.2,11-MAR-2016,4258,INE647O01011
13,ABGSHIP,EQ,57.85,57.85,56.25,56.55,56.7,57.1,85740,4874612.9,11-MAR-2016,851,INE067H01016
14,ABIRLANUVO,EQ,790.0,807.75,781.0,786.95,789.1,795.05,284861,225893680.65,11-MAR-2016,9774,INE069A01017
15,ACC,EQ,1225.0,1238.0,1218.0,1226.75,1227.95,1230.35,227408,279615523.0,11-MAR-2016,8451,INE012A01025
16,ACCELYA,EQ,890.0,890.0,876.0,876.8,877.0,889.0,1667,1464034.6,11-MAR-2016,91,INE793A01012
17,ACE,EQ,37.6,38.0,36.8,36.9,36.9,37.45,38863,1450023.3,11-MAR-2016,276,INE731H01025
18,ACROPETAL,EQ,3.0,3.0,2.85,2.9,2.85,2.9,8933,25812.35,11-MAR-2016,17,INE055L01013
19,ADANIENT,EQ,65.2,66.8,64.8,65.45,65.65,65.2,2391480,157123448.85,11-MAR-2016,8060,INE423A01024
20,ADANIPORTS,EQ,226.45,232.85,226.0,231.2,231.0,226.45,2649095,611086387.15,11-MAR-2016,33214,INE742F01042
21,ADANIPOWER,EQ,29.8,30.25,29.25,29.85,29.95,29.9,3943621,117558639.55,11-MAR-2016,4594,INE814H01011
22,ADANITRANS,EQ,30.5,31.6,30.3,30.7,30.55,30.6,626900,19414096.65,11-MAR-2016,3255,INE931S01010
23,ADFFOODS,EQ,81.25,82.6,79.3,81.0,81.0,81.25,16853,1368380.0,11-MAR-2016,186,INE982B01019
24,ADHUNIK,EQ,11.9,11.95,11.45,11.55,11.55,11.65,24472,284066.8,11-MAR-2016,494,INE400H01019
25,ADI,EQ,263.7,279.0,254.5,270.35,267.0,267.85,14170,3834597.25,11-MAR-2016,491,INE959A01019
26,ADLABS,EQ,85.05,89.45,85.05,86.5,86.3,85.9,58088,5086009.8,11-MAR-2016,1105,INE172N01012
27,ADORWELD,EQ,263.0,270.0,262.1,266.85,268.0,263.55,3048,807197.65,11-MAR-2016,230,INE045A01017
28,ADSL,EQ,42.8,43.2,41.2,42.05,41.8,41.95,137838,5811541.8,11-MAR-2016,1024,INE102I01027
29,ADVANIHOTR,EQ,49.0,50.25,47.05,47.05,47.05,49.0,1275,63342.9,11-MAR-2016,22,INE199C01026
30,ADVANTA,EQ,450.55,450.55,441.0,445.05,446.2,451.5,3423,1524039.25,11-MAR-2016,345,INE517H01028
31,AEGISCHEM,EQ,103.5,104.7,101.0,101.55,101.1,101.3,168642,17348226.6,11-MAR-2016,1816,INE208C01025
32,AFL,EQ,58.55,61.5,58.55,59.25,59.0,58.6,42712,2589667.05,11-MAR-2016,258,INE020G01017
33,AGARIND,EQ,155.4,157.85,152.85,152.95,153.0,155.0,15181,2352807.9,11-MAR-2016,234,INE204E01012
34,AGCNET,EQ,76.95,78.8,75.0,75.8,75.05,75.2,5106,389630.5,11-MAR-2016,124,INE676A01019
35,AGRITECH,EQ,9.05,9.5,8.6,9.45,9.45,9.05,475,4244.7,11-MAR-2016,8,INE449G01018
36,AGRODUTCH,EQ,3.1,3.15,2.95,3.0,3.0,3.1,4115,12744.2,11-MAR-2016,14,INE135B01014
37,AHLEAST,EQ,137.9,137.9,131.1,135.85,131.6,131.9,274,37112.15,11-MAR-2016,15,INE926K01017
38,AHLUCONT,EQ,242.95,244.9,236.05,239.6,239.9,237.6,7460,1796190.2,11-MAR-2016,739,INE758C01029
39,AHLWEST,EQ,122.0,122.0,120.0,120.6,120.6,117.65,2386,286322.6,11-MAR-2016,24,INE915K01010
40,AIAENG,EQ,820.0,830.55,815.05,825.45,823.0,826.3,36729,30240862.65,11-MAR-2016,1367,INE212H01026
41,AIFL,EQ,244.0,245.65,237.05,240.05,238.65,240.65,28154,6760447.65,11-MAR-2016,278,INE428O01016
42,AIL,EQ,569.95,591.0,563.7,586.7,591.0,567.75,27428,15754389.15,11-MAR-2016,745,INE878A01011
43,AJANTPHARM,EQ,1442.5,1460.0,1425.0,1432.1,1430.25,1442.1,106995,154591637.0,11-MAR-2016,5196,INE031B01049
