,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,34.9,34.9,33.05,33.95,34.2,34.1,113049,3844279.75,30-MAY-2014,708,INE144J01027
1,3IINFOTECH,EQ,9.35,9.55,8.9,9.0,9.0,9.35,1397140,12753090.1,30-MAY-2014,1992,INE748C01020
2,3MINDIA,EQ,3950.0,4444.4,3950.0,4396.05,4400.0,4191.85,1366,5912559.1,30-MAY-2014,179,INE470A01017
3,8KMILES,EQ,137.95,140.5,133.0,134.45,135.0,136.5,3938,541223.55,30-MAY-2014,102,INE650K01013
4,A2ZMES,EQ,16.9,16.9,15.4,15.8,15.7,16.5,485474,7876405.1,30-MAY-2014,1278,INE619I01012
5,AARTIDRUGS,EQ,397.0,409.0,391.05,401.2,396.5,392.75,7815,3144809.65,30-MAY-2014,369,INE767A01016
6,AARTIIND,EQ,162.75,165.0,159.0,161.9,162.0,160.0,45407,7373358.65,30-MAY-2014,878,INE769A01020
7,AARVEEDEN,EQ,43.0,43.0,38.0,38.3,38.35,43.55,41994,1630058.5,30-MAY-2014,478,INE273D01019
8,ABAN,EQ,712.9,716.4,694.3,707.7,707.0,708.9,1194983,844188824.35,30-MAY-2014,33184,INE421A01028
9,ABB,EQ,915.55,932.0,892.0,905.55,908.1,914.2,54273,49610947.9,30-MAY-2014,4054,INE117A01022
10,ABBOTINDIA,EQ,1760.0,1765.0,1731.0,1735.85,1745.0,1759.5,1240,2168673.6,30-MAY-2014,201,INE358A01014
11,ABCIL,EQ,156.0,164.0,155.7,163.25,163.7,156.7,35243,5662114.6,30-MAY-2014,508,INE605B01016
12,ABGSHIP,EQ,275.0,298.9,274.45,289.0,285.0,276.6,855018,248087421.85,30-MAY-2014,16045,INE067H01016
