,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,30.25,30.7,30.2,30.2,30.2,30.45,22722,690080.7,15-JUL-2013,93,INE144J01027
1,3IINFOTECH,EQ,5.2,5.2,5.0,5.1,5.05,5.1,516062,2650284.0,15-JUL-2013,732,INE748C01020
2,3MINDIA,EQ,3496.0,3501.0,3461.25,3486.95,3465.0,3495.95,239,835584.4,15-JUL-2013,31,INE470A01017
3,A2ZMES,EQ,12.5,12.65,12.25,12.5,12.45,12.5,58758,732702.9,15-JUL-2013,288,INE619I01012
4,AANJANEYA,EQ,47.0,47.95,46.0,46.25,46.95,47.25,6415,298621.8,15-JUL-2013,204,INE928K01013
5,AARTIDRUGS,EQ,227.0,232.9,207.0,227.25,228.0,226.15,16142,3683156.0,15-JUL-2013,564,INE767A01016
6,AARTIIND,EQ,79.9,81.5,79.5,80.0,80.0,79.6,6471,517926.1,15-JUL-2013,467,INE769A01020
7,AARVEEDEN,EQ,42.0,42.0,36.35,37.05,37.4,36.95,1114,41290.25,15-JUL-2013,30,INE273D01019
8,ABAN,EQ,244.0,249.5,241.35,248.15,246.9,243.35,179724,44359300.9,15-JUL-2013,5694,INE421A01028
9,ABB,EQ,612.0,612.0,598.0,601.85,601.7,612.9,41887,25297249.25,15-JUL-2013,2302,INE117A01022
10,ABBOTINDIA,EQ,1440.0,1440.0,1399.0,1408.9,1405.15,1436.1,8506,12082707.25,15-JUL-2013,476,INE358A01014
11,ABCIL,EQ,77.0,77.0,75.5,75.6,75.95,76.05,5075,384639.3,15-JUL-2013,44,INE605B01016
12,ABGSHIP,EQ,268.15,277.0,268.15,271.45,270.85,270.9,2765,751215.05,15-JUL-2013,226,INE067H01016
13,ABIRLANUVO,EQ,1049.85,1092.0,1040.4,1087.3,1090.1,1048.65,222074,238561257.7,15-JUL-2013,16097,INE069A01017
14,ACC,EQ,1239.5,1249.4,1232.45,1242.05,1245.9,1241.4,124649,154518988.1,15-JUL-2013,8070,INE012A01025
15,ACCELYA,EQ,558.8,558.8,538.0,543.55,543.2,544.6,11023,6031356.05,15-JUL-2013,522,INE793A01012
16,ACE,EQ,11.8,11.8,11.05,11.65,11.7,11.5,245897,2811848.9,15-JUL-2013,555,INE731H01025
17,ACROPETAL,EQ,5.2,5.2,4.9,5.1,5.15,5.05,21105,106785.95,15-JUL-2013,83,INE055L01013
18,ADANIENT,EQ,201.0,203.75,198.35,201.8,201.8,200.8,971357,195667402.9,15-JUL-2013,11894,INE423A01024
19,ADANIPORTS,EQ,152.0,152.75,148.55,149.3,149.0,151.85,1112743,167410195.75,15-JUL-2013,12448,INE742F01042
20,ADANIPOWER,EQ,39.0,40.45,38.4,39.6,39.8,39.25,6051809,237150859.6,15-JUL-2013,12329,INE814H01011
21,ADFFOODS,EQ,47.65,48.0,46.1,47.15,48.0,46.7,1303,61435.45,15-JUL-2013,68,INE982B01019
22,ADHUNIK,EQ,22.65,23.0,22.6,22.75,22.85,23.1,23654,541143.2,15-JUL-2013,297,INE400H01019
23,ADORWELD,EQ,124.65,129.65,124.65,129.2,129.35,124.6,60547,7781198.3,15-JUL-2013,1172,INE045A01017
24,ADSL,EQ,14.7,14.7,14.7,14.7,14.7,14.0,6765,99445.5,15-JUL-2013,28,INE102I01027
25,ADVANTA,EQ,151.0,153.6,150.1,152.0,151.2,150.7,26704,4061760.85,15-JUL-2013,759,INE517H01028
26,AEGISCHEM,EQ,130.4,131.0,128.0,130.35,130.9,128.6,2250,291758.55,15-JUL-2013,130,INE208C01017
27,AFL,EQ,22.75,22.9,22.0,22.55,22.7,23.15,2151,48075.75,15-JUL-2013,56,INE020G01017
28,AFTEK,EQ,4.6,4.8,4.6,4.65,4.7,4.7,73257,341103.4,15-JUL-2013,194,INE796A01023
29,AGCNET,EQ,104.6,104.6,104.6,104.6,104.6,99.65,977,102194.2,15-JUL-2013,29,INE676A01019
30,AGRODUTCH,EQ,2.6,2.6,2.6,2.6,2.6,2.9,1,2.6,15-JUL-2013,1,INE135B01014
31,AHLEAST,EQ,152.8,155.0,152.8,155.0,155.0,153.0,121,18752.8,15-JUL-2013,7,INE926K01017
