,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,36.5,38.95,35.8,37.35,37.05,35.6,64023,2365394.5,01-APR-2015,381,INE144J01027
1,3IINFOTECH,EQ,5.9,6.3,5.8,6.2,6.25,5.8,1602365,9806374.15,01-APR-2015,3011,INE748C01020
2,3MINDIA,EQ,7905.0,7905.0,7850.0,7879.6,7860.0,7935.3,310,2444033.7,01-APR-2015,77,INE470A01017
3,8KMILES,EQ,710.05,721.0,706.0,712.9,714.0,711.55,20196,14415685.85,01-APR-2015,1411,INE650K01013
4,A2ZINFRA,EQ,15.5,16.55,15.2,16.0,16.3,15.3,218219,3490437.25,01-APR-2015,900,INE619I01012
5,AARTIDRUGS,EQ,648.95,665.5,639.65,648.25,649.5,649.95,42927,28020226.95,01-APR-2015,1864,INE767A01016
6,AARTIIND,EQ,348.0,349.4,340.3,341.85,342.3,350.8,122071,41905800.25,01-APR-2015,3219,INE769A01020
7,AARVEEDEN,EQ,42.0,42.9,41.55,42.3,42.6,41.1,627,26377.25,01-APR-2015,11,INE273D01019
8,ABAN,EQ,422.0,434.3,419.0,429.1,427.8,426.4,625857,266948222.1,01-APR-2015,15239,INE421A01028
9,ABB,EQ,1266.05,1284.0,1266.0,1277.45,1281.0,1260.1,70294,89522165.0,01-APR-2015,4069,INE117A01022
10,ABBOTINDIA,EQ,3979.25,4009.95,3955.3,3981.25,3970.0,3952.6,2677,10693146.4,01-APR-2015,1014,INE358A01014
11,ABCIL,EQ,217.8,222.95,217.0,221.65,221.05,217.2,11583,2543657.65,01-APR-2015,256,INE605B01016
12,ABGSHIP,EQ,225.0,225.0,215.3,220.2,221.0,226.1,237737,52319177.8,01-APR-2015,4658,INE067H01016
13,ABIRLANUVO,EQ,1677.0,1677.0,1639.25,1666.7,1662.3,1663.9,106336,176614904.6,01-APR-2015,11939,INE069A01017
14,ACC,EQ,1563.7,1591.3,1553.2,1585.9,1586.1,1562.75,176063,276874303.0,01-APR-2015,9556,INE012A01025
15,ACCELYA,EQ,932.0,953.8,923.0,950.5,953.5,931.5,4297,4045220.85,01-APR-2015,526,INE793A01012
16,ACE,EQ,40.1,41.7,40.05,41.15,40.75,40.55,356130,14494767.1,01-APR-2015,2122,INE731H01025
17,ACROPETAL,EQ,2.75,3.0,2.7,2.85,2.9,2.75,33380,95042.0,01-APR-2015,61,INE055L01013
18,ADANIENT,EQ,608.8,615.8,603.0,612.4,615.0,615.35,868006,528851512.0,01-APR-2015,19301,INE423A01024
19,ADANIPORTS,EQ,308.45,312.05,306.1,310.95,311.05,308.2,1026200,317313257.65,01-APR-2015,21529,INE742F01042
