,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,25.6,26.0,25.45,25.8,25.95,25.45,23111,596801.0,09-SEP-2015,81,INE144J01027
1,3IINFOTECH,EQ,2.95,3.05,2.95,3.0,3.05,2.95,1034171,3086986.7,09-SEP-2015,450,INE748C01020
2,3MINDIA,EQ,11290.0,11374.95,10810.0,11038.4,11040.0,10975.0,1659,18355376.6,09-SEP-2015,672,INE470A01017
3,3RDROCK,IT,214.0,214.5,214.0,214.5,0.0,214.5,10400,2228200.0,09-SEP-2015,2,INE768P01012
4,8KMILES,EQ,1349.0,1409.0,1331.5,1376.5,1375.0,1329.2,76379,105227961.35,09-SEP-2015,5550,INE650K01013
5,A2ZINFRA,EQ,20.7,23.1,20.45,21.65,21.7,20.1,418227,9195158.35,09-SEP-2015,2029,INE619I01012
6,AARTIDRUGS,EQ,529.75,529.8,511.0,516.25,514.1,504.55,22539,11746521.2,09-SEP-2015,1318,INE767A01016
7,AARTIIND,EQ,410.0,415.4,406.05,411.0,412.45,406.05,17662,7252382.35,09-SEP-2015,1102,INE769A01020
8,AARVEEDEN,EQ,51.9,52.0,50.1,50.35,50.35,50.0,3174,162962.2,09-SEP-2015,37,INE273D01019
9,ABAN,EQ,231.3,244.8,230.3,236.3,235.9,226.9,1783848,423162100.0,09-SEP-2015,28465,INE421A01028
10,ABB,EQ,1175.95,1188.0,1163.7,1180.95,1180.0,1157.55,19924,23498785.95,09-SEP-2015,2241,INE117A01022
11,ABBOTINDIA,EQ,5348.95,5430.0,5211.0,5387.45,5384.0,5246.1,11437,61218425.3,09-SEP-2015,3213,INE358A01014
12,ABCIL,EQ,213.7,219.0,213.1,217.6,217.0,212.3,17601,3826016.65,09-SEP-2015,250,INE605B01016
13,ABGSHIP,EQ,136.0,147.05,136.0,143.8,145.35,134.6,630124,88785482.05,09-SEP-2015,8335,INE067H01016
14,ABIRLANUVO,EQ,2007.65,2032.0,1973.0,1984.3,1978.4,1979.1,340876,680854905.0,09-SEP-2015,19754,INE069A01017
15,ACC,EQ,1360.0,1385.6,1354.0,1380.05,1381.0,1345.8,349250,480658994.2,09-SEP-2015,18332,INE012A01025
16,ACCELYA,EQ,969.0,979.0,947.65,971.8,978.9,949.55,5431,5236503.05,09-SEP-2015,497,INE793A01012
17,ACE,EQ,36.8,37.5,36.05,36.15,36.05,35.35,226989,8313325.5,09-SEP-2015,1954,INE731H01025
18,ACROPETAL,EQ,2.6,2.95,2.6,2.8,2.75,2.75,6119,17199.4,09-SEP-2015,14,INE055L01013
19,ADANIENT,EQ,69.75,72.75,69.0,70.45,70.45,68.4,3413559,242429647.15,09-SEP-2015,19935,INE423A01024
20,ADANIPORTS,EQ,323.5,327.6,320.15,324.05,324.0,317.55,2070584,671372780.15,09-SEP-2015,37958,INE742F01042
21,ADANIPOWER,EQ,22.0,22.4,21.7,22.05,22.05,21.75,6339578,139483705.65,09-SEP-2015,11968,INE814H01011
22,ADANITRANS,EQ,27.2,28.0,26.4,27.05,27.05,26.7,453469,12359036.45,09-SEP-2015,2588,INE931S01010
23,ADFFOODS,EQ,75.0,75.0,70.9,71.75,72.45,74.6,23384,1701627.65,09-SEP-2015,302,INE982B01019
24,ADHUNIK,EQ,15.0,16.0,14.9,15.35,15.35,14.75,77549,1190421.05,09-SEP-2015,750,INE400H01019
25,ADI,EQ,194.9,194.9,190.0,194.9,194.9,190.9,1110,212966.05,09-SEP-2015,37,INE959A01019
26,ADLABS,EQ,115.0,133.5,112.35,126.35,125.05,113.95,192721,24262525.3,09-SEP-2015,5555,INE172N01012
27,ADORWELD,EQ,232.0,238.75,232.0,236.2,237.0,231.0,2406,568520.0,09-SEP-2015,111,INE045A01017
28,ADSL,EQ,26.3,26.4,25.8,26.1,26.25,25.1,26281,684137.1,09-SEP-2015,283,INE102I01027
29,ADVANIHOTR,EQ,42.0,45.0,42.0,45.0,45.0,44.0,200,8700.0,09-SEP-2015,5,INE199C01026
30,ADVANTA,EQ,561.0,564.0,545.1,549.45,548.0,559.8,5532,3080480.35,09-SEP-2015,517,INE517H01028
31,AEGISCHEM,EQ,809.7,814.0,788.0,799.6,800.0,794.35,16968,13622871.5,09-SEP-2015,1751,INE208C01017
32,AFL,EQ,67.9,67.9,63.0,64.15,63.35,64.75,19661,1264204.3,09-SEP-2015,263,INE020G01017
33,AGARIND,EQ,103.0,106.95,100.1,102.55,100.1,100.65,543,56045.0,09-SEP-2015,21,INE204E01012
34,AGCNET,EQ,97.95,99.0,94.55,98.4,97.9,93.05,5625,545362.3,09-SEP-2015,458,INE676A01019
35,AGRODUTCH,EQ,2.85,3.0,2.8,3.0,2.95,2.9,1826,5468.1,09-SEP-2015,13,INE135B01014
36,AHLEAST,EQ,152.0,152.0,140.05,149.8,150.4,145.0,129,18880.2,09-SEP-2015,21,INE926K01017
37,AHLUCONT,EQ,230.0,233.25,227.05,228.05,228.0,223.7,15303,3505307.15,09-SEP-2015,627,INE758C01029
38,AHLWEST,EQ,108.0,109.9,106.45,106.55,106.5,111.75,388,41425.5,09-SEP-2015,20,INE915K01010
39,AIAENG,EQ,934.0,942.0,911.3,916.25,919.9,910.7,12863,11916862.35,09-SEP-2015,1083,INE212H01026
40,AIL,EQ,662.2,679.0,635.1,641.5,641.0,629.45,56600,36826108.15,09-SEP-2015,4001,INE878A01011
41,AJANTPHARM,EQ,1395.0,1430.0,1390.15,1401.35,1405.0,1377.35,157107,221805671.05,09-SEP-2015,9882,INE031B01049
42,AJMERA,EQ,95.95,101.85,94.0,94.85,94.2,92.65,184408,17943611.0,09-SEP-2015,2658,INE298G01027
43,AKSHOPTFBR,EQ,15.6,15.85,15.05,15.3,15.4,14.75,1503109,23188077.85,09-SEP-2015,3576,INE523B01011
