,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,26.2,26.5,25.4,26.1,26.4,25.6,30717,791560.9,28-AUG-2015,186,INE144J01027
1,3IINFOTECH,EQ,3.05,3.2,3.05,3.1,3.1,3.1,1225788,3814834.25,28-AUG-2015,634,INE748C01020
2,3MINDIA,EQ,11000.05,11387.7,10999.95,11034.8,11000.0,10784.4,1939,21757759.4,28-AUG-2015,824,INE470A01017
3,3RDROCK,IT,200.0,203.0,200.0,200.0,0.0,202.0,26000,5215600.0,28-AUG-2015,5,INE768P01012
4,8KMILES,EQ,1205.25,1299.0,1170.0,1238.5,1235.0,1206.6,124990,156204641.55,28-AUG-2015,10753,INE650K01013
5,A2ZINFRA,EQ,24.0,24.5,22.65,23.0,22.65,23.2,209931,4947754.35,28-AUG-2015,1105,INE619I01012
6,AARTIDRUGS,EQ,574.0,584.0,570.25,572.9,571.5,564.35,25036,14472601.4,28-AUG-2015,1337,INE767A01016
7,AARTIIND,EQ,427.1,435.0,426.0,428.0,427.3,425.7,261165,111881221.9,28-AUG-2015,2887,INE769A01020
8,AARVEEDEN,EQ,59.95,60.8,57.1,58.1,58.75,56.45,17619,1027794.25,28-AUG-2015,154,INE273D01019
9,ABAN,EQ,249.25,269.0,246.6,254.05,253.7,238.95,3972065,1030442994.85,28-AUG-2015,65197,INE421A01028
10,ABB,EQ,1212.0,1262.0,1206.45,1242.6,1240.0,1199.95,85083,105423732.65,28-AUG-2015,3932,INE117A01022
11,ABBOTINDIA,EQ,4885.0,4885.0,4761.65,4781.25,4765.0,4786.15,2757,13261591.3,28-AUG-2015,513,INE358A01014
12,ABCIL,EQ,212.95,215.9,209.3,210.4,210.5,212.1,27390,5828412.65,28-AUG-2015,207,INE605B01016
13,ABGSHIP,EQ,138.95,142.8,137.1,138.85,138.35,136.85,94803,13234631.9,28-AUG-2015,1269,INE067H01016
14,ABIRLANUVO,EQ,2131.0,2172.0,2048.1,2073.2,2064.0,2106.4,177311,374209508.95,28-AUG-2015,14204,INE069A01017
15,ACC,EQ,1387.9,1387.9,1358.0,1362.8,1373.0,1369.95,211377,290343210.3,28-AUG-2015,10908,INE012A01025
16,ACCELYA,EQ,1020.0,1027.0,995.7,1014.15,1009.9,1016.15,4472,4516399.15,28-AUG-2015,414,INE793A01012
17,ACE,EQ,43.0,43.5,41.0,41.45,41.5,41.65,255184,10740668.7,28-AUG-2015,2007,INE731H01025
18,ACROPETAL,EQ,2.9,3.0,2.85,2.9,2.9,2.95,19893,57641.3,28-AUG-2015,30,INE055L01013
19,ADANIENT,EQ,81.2,82.75,75.35,77.1,77.25,79.8,5744742,452672234.65,28-AUG-2015,31827,INE423A01024
20,ADANIPORTS,EQ,360.5,369.45,357.0,362.65,365.15,356.55,5905591,2150532681.0,28-AUG-2015,63095,INE742F01042
21,ADANIPOWER,EQ,23.6,23.9,21.9,22.6,22.8,23.2,7870151,179557517.25,28-AUG-2015,16488,INE814H01011
22,ADANITRANS,EQ,34.3,34.5,31.55,32.35,32.6,33.3,1312051,42907077.25,28-AUG-2015,6584,INE931S01010
23,ADFFOODS,EQ,70.75,73.7,70.75,72.45,72.7,70.95,50661,3667100.7,28-AUG-2015,423,INE982B01019
24,ADHUNIK,EQ,17.0,17.8,16.75,17.15,16.75,16.7,51521,887336.75,28-AUG-2015,789,INE400H01019
25,ADI,EQ,190.0,208.0,186.25,189.8,190.0,191.65,9381,1834456.05,28-AUG-2015,164,INE959A01019
26,ADLABS,EQ,133.0,134.9,123.5,125.05,125.0,129.6,70477,9048326.0,28-AUG-2015,4228,INE172N01012
27,ADORWELD,EQ,249.65,262.95,249.65,253.05,251.9,245.3,4955,1262981.95,28-AUG-2015,391,INE045A01017
28,ADSL,EQ,29.8,29.85,28.35,28.7,28.65,28.4,88622,2596358.15,28-AUG-2015,563,INE102I01027
29,ADVANIHOTR,EQ,47.15,52.0,47.15,50.65,52.0,48.75,2311,116644.95,28-AUG-2015,23,INE199C01026
30,ADVANTA,EQ,545.05,565.0,545.05,555.0,556.5,544.8,116367,64594494.05,28-AUG-2015,1087,INE517H01028
31,AEGISCHEM,EQ,806.9,820.0,782.0,792.0,793.9,791.2,33459,26870097.85,28-AUG-2015,3811,INE208C01017
32,AFL,EQ,72.9,72.9,66.15,67.2,67.45,68.4,38974,2658233.45,28-AUG-2015,239,INE020G01017
33,AGARIND,EQ,103.9,115.0,103.7,104.35,105.0,102.1,12022,1278096.3,28-AUG-2015,340,INE204E01012
34,AGCNET,EQ,104.05,109.45,103.3,103.8,103.3,103.85,5715,601859.8,28-AUG-2015,265,INE676A01019
35,AGRODUTCH,EQ,3.15,3.25,3.1,3.25,3.25,3.1,7494,23787.75,28-AUG-2015,22,INE135B01014
36,AHLEAST,EQ,159.75,159.75,147.0,149.85,147.0,150.75,576,86960.65,28-AUG-2015,63,INE926K01017
37,AHLUCONT,EQ,249.85,254.85,243.0,244.7,244.95,245.25,25336,6295380.75,28-AUG-2015,866,INE758C01029
38,AHLWEST,EQ,114.05,115.0,114.0,114.0,114.0,114.0,290,33080.5,28-AUG-2015,5,INE915K01010
39,AIAENG,EQ,905.3,923.4,900.0,910.8,913.0,897.95,129761,118147898.7,28-AUG-2015,2149,INE212H01026
40,AIL,EQ,708.0,713.0,672.2,677.85,675.0,694.25,12637,8831226.75,28-AUG-2015,1362,INE878A01011
41,AJANTPHARM,EQ,1459.0,1471.65,1410.1,1429.1,1429.8,1432.3,197168,284375786.8,28-AUG-2015,13814,INE031B01049
42,AJMERA,EQ,104.85,104.9,99.2,100.0,100.9,101.95,66381,6795933.5,28-AUG-2015,1276,INE298G01027
43,AKSHOPTFBR,EQ,18.45,19.35,18.15,18.25,18.25,18.0,2164518,40459788.1,28-AUG-2015,5913,INE523B01011
44,AKZOINDIA,EQ,1316.05,1329.9,1280.0,1290.3,1288.0,1311.9,6509,8510598.0,28-AUG-2015,610,INE133A01011
45,ALANKIT,EQ,219.8,221.9,215.2,218.85,219.2,217.5,229113,50219979.7,28-AUG-2015,1792,INE914E01024
46,ALBK,EQ,86.5,87.25,82.7,83.8,84.15,85.2,1886896,160767340.4,28-AUG-2015,11555,INE428A01015
47,ALCHEM,EQ,22.0,27.0,22.0,25.8,25.5,22.55,48609,1250135.3,28-AUG-2015,394,INE964B01033
48,ALEMBICLTD,EQ,41.6,42.5,40.05,40.55,40.4,40.9,537180,22259354.5,28-AUG-2015,3122,INE426A01027
49,ALICON,EQ,353.0,376.0,353.0,360.5,362.0,351.75,10555,3870669.75,28-AUG-2015,513,INE062D01024
50,ALKALI,EQ,41.5,43.95,40.7,40.8,41.3,41.25,3367,141621.3,28-AUG-2015,97,INE773I01017
51,ALKYLAMINE,EQ,309.9,309.9,270.15,294.2,296.5,307.05,17179,5004301.65,28-AUG-2015,482,INE150B01021
52,ALLCARGO,EQ,299.0,316.6,296.15,305.1,306.0,295.45,110659,34094865.65,28-AUG-2015,3795,INE418H01029
53,ALLSEC,EQ,43.6,46.1,43.6,45.25,44.25,43.95,32202,1476112.3,28-AUG-2015,217,INE835G01018
54,ALMONDZ,EQ,9.6,9.6,8.05,9.55,9.5,9.0,11404,103295.6,28-AUG-2015,44,INE326B01027
55,ALOKTEXT,EQ,6.25,6.35,6.0,6.05,6.1,6.1,6294666,39078135.15,28-AUG-2015,2414,INE270A01011
56,ALPA,BE,18.55,19.3,18.55,19.1,18.6,18.4,2410,46183.5,28-AUG-2015,14,INE385I01010
57,ALPHAGEO,EQ,329.0,348.0,321.1,334.5,339.9,310.15,27306,9221656.65,28-AUG-2015,1034,INE137C01018
58,ALPSINDUS,EQ,3.4,3.4,3.4,3.4,3.4,3.55,400,1360.0,28-AUG-2015,4,INE093B01015
59,ALSTOMT&D,EQ,524.0,535.0,510.05,520.0,520.0,516.2,27685,14577966.9,28-AUG-2015,2689,INE200A01026
60,AMARAJABAT,EQ,1067.0,1072.2,1011.0,1022.15,1023.0,1062.3,290291,301999579.85,28-AUG-2015,18547,INE885A01032
61,AMBIKCO,EQ,774.8,780.0,758.0,761.6,758.0,756.65,13565,10398236.4,28-AUG-2015,890,INE540G01014
62,AMBUJACEM,EQ,212.0,212.9,204.85,206.1,206.1,209.9,2305680,481942543.9,28-AUG-2015,23505,INE079A01024
63,AMDIND,EQ,26.2,26.8,25.05,25.4,25.45,25.65,7727,199220.05,28-AUG-2015,68,INE005I01014
64,AMRUTANJAN,EQ,435.0,437.9,422.1,425.75,424.0,428.3,11500,4956564.25,28-AUG-2015,778,INE098F01023
65,AMTEKAUTO,EQ,54.8,55.8,52.35,53.3,53.35,53.4,6170121,334886153.45,28-AUG-2015,41719,INE130C01021
66,AMTL,EQ,16.0,17.1,16.0,17.1,17.1,16.3,8035,135185.5,28-AUG-2015,89,INE436N01029
67,ANANTRAJ,EQ,33.6,34.9,33.2,33.65,33.7,33.0,1167617,39724006.15,28-AUG-2015,5494,INE242C01024
68,ANDHRABANK,EQ,68.9,69.15,65.35,66.15,66.3,67.8,2656388,178357548.3,28-AUG-2015,20038,INE434A01013
69,ANDHRACEMT,EQ,4.5,4.5,3.9,4.15,4.05,4.3,744043,3200377.9,28-AUG-2015,838,INE666E01012
70,ANDHRSUGAR,EQ,92.0,94.95,90.85,92.5,92.65,92.0,4250,395452.65,28-AUG-2015,70,INE715B01013
71,ANGIND,EQ,39.5,40.05,37.9,38.1,38.05,37.75,53517,2082388.95,28-AUG-2015,515,INE017D01010
72,ANIKINDS,BE,28.0,29.8,28.0,28.9,28.8,28.4,1534,45151.7,28-AUG-2015,8,INE087B01017
73,ANKITMETAL,EQ,2.95,2.95,2.95,2.95,2.95,3.1,37679,111153.05,28-AUG-2015,42,INE106I01010
74,ANSALAPI,EQ,16.9,17.4,16.75,16.95,17.0,16.55,99068,1690471.3,28-AUG-2015,511,INE436A01026
75,ANSALHSG,EQ,20.6,21.0,19.9,20.1,20.0,20.6,19834,405748.9,28-AUG-2015,114,INE880B01015
76,ANTGRAPHIC,BE,0.1,0.15,0.1,0.1,0.1,0.15,5996,599.7,28-AUG-2015,10,INE414B01021
77,APARINDS,EQ,424.95,444.9,415.0,417.35,419.0,421.75,37901,16386504.25,28-AUG-2015,2318,INE372A01015
78,APCOTEXIND,EQ,553.7,564.4,534.0,538.0,534.1,543.0,4365,2378707.7,28-AUG-2015,352,INE116A01024
79,APLAPOLLO,EQ,440.0,449.2,424.85,428.6,429.5,449.2,6596,2884000.8,28-AUG-2015,477,INE702C01019
80,APLLTD,EQ,705.0,718.0,702.0,705.15,702.5,701.05,44192,31392726.9,28-AUG-2015,2245,INE901L01018
81,APOLLOHOSP,EQ,1306.0,1360.0,1303.95,1342.75,1349.0,1300.15,226525,302945036.5,28-AUG-2015,21371,INE437A01024
82,APOLLOTYRE,EQ,182.2,186.95,178.3,181.25,181.1,181.25,1879712,343815294.1,28-AUG-2015,18722,INE438A01022
83,APTECHT,EQ,58.45,60.6,57.5,58.1,57.75,57.8,94283,5568084.95,28-AUG-2015,1053,INE266F01018
84,ARCHIDPLY,EQ,45.2,48.6,45.2,45.95,46.0,44.25,107740,5045934.85,28-AUG-2015,1291,INE877I01016
85,ARCHIES,EQ,28.9,29.45,27.85,28.35,28.35,27.95,247776,7075413.45,28-AUG-2015,1397,INE731A01020
86,ARCOTECH,EQ,360.55,370.0,356.8,357.75,358.4,356.5,53023,19067300.3,28-AUG-2015,1299,INE574I01027
87,ARIES,EQ,97.25,100.0,96.95,97.9,98.1,96.15,32125,3156120.75,28-AUG-2015,680,INE298I01015
88,ARIHANT,EQ,39.0,39.0,39.0,39.0,39.0,37.8,6,234.0,28-AUG-2015,1,INE413D01011
89,AROGRANITE,EQ,51.6,53.9,49.2,50.5,50.5,49.85,515,26323.0,28-AUG-2015,30,INE210C01013
90,ARROWCOAT,EQ,497.7,504.9,479.95,487.65,485.0,491.2,4977,2452122.15,28-AUG-2015,443,INE570D01018
91,ARROWTEX,EQ,24.6,24.6,23.55,23.7,23.6,23.65,15518,372161.05,28-AUG-2015,146,INE933J01015
92,ARSHIYA,EQ,28.8,30.4,27.75,28.45,27.95,27.65,222683,6585808.45,28-AUG-2015,1120,INE968D01022
93,ARSSINFRA,EQ,26.8,27.45,25.55,26.0,26.1,26.45,46226,1224822.4,28-AUG-2015,515,INE267I01010
94,ARVIND,EQ,267.9,276.65,265.2,271.35,271.3,264.9,1812088,491897284.5,28-AUG-2015,24808,INE034A01011
95,ARVINDREM,EQ,14.85,15.1,14.35,14.45,14.45,14.45,345710,5091623.95,28-AUG-2015,1243,INE211C01037
96,ARVINFRA,BE,48.1,48.1,48.1,48.1,48.1,50.6,1832,88119.2,28-AUG-2015,36,INE034S01021
97,ASAHIINDIA,EQ,153.0,153.75,150.0,152.05,150.15,150.1,19052,2890965.05,28-AUG-2015,442,INE439A01020
98,ASAHISONG,EQ,125.5,126.0,118.0,120.15,119.0,124.0,12028,1474623.3,28-AUG-2015,190,INE228I01012
99,ASAL,EQ,36.0,37.2,36.0,36.6,36.6,36.65,321,11751.55,28-AUG-2015,14,INE900C01027
100,ASHAPURMIN,EQ,52.65,53.75,47.0,48.95,48.0,51.65,76913,3876100.45,28-AUG-2015,909,INE348A01023
101,ASHIANA,EQ,170.0,172.0,167.1,168.6,168.3,165.0,36274,6155611.8,28-AUG-2015,861,INE365D01021
102,ASHIMASYN,EQ,9.5,10.5,9.5,9.6,9.6,10.0,6053,61474.2,28-AUG-2015,29,INE440A01010
103,ASHOKA,EQ,176.25,189.0,175.35,179.25,178.35,174.9,238580,42902410.2,28-AUG-2015,2889,INE442H01029
104,ASHOKLEY,EQ,93.25,94.25,91.4,92.15,92.3,91.5,17021876,1581616421.55,28-AUG-2015,72279,INE208A01029
105,ASIANHOTNR,EQ,110.9,117.0,110.9,113.75,111.25,112.85,918,103542.1,28-AUG-2015,28,INE363A01022
106,ASIANPAINT,EQ,866.85,874.1,850.0,858.25,858.0,855.0,1077558,930578288.15,28-AUG-2015,29997,INE021A01026
107,ASIANTILES,EQ,97.35,99.6,95.0,96.05,95.55,95.5,19667,1916968.85,28-AUG-2015,415,INE022I01019
108,ASSAMCO,EQ,3.15,3.2,2.9,2.95,3.0,3.05,313154,958127.2,28-AUG-2015,364,INE442A01024
109,ASTEC,EQ,241.9,254.9,237.95,242.25,244.0,238.1,231692,57095318.65,28-AUG-2015,4596,INE563J01010
110,ASTRAL,EQ,454.0,462.25,430.95,435.35,432.3,453.1,20740,9255374.9,28-AUG-2015,840,INE006I01046
111,ASTRAMICRO,EQ,112.75,118.2,111.8,112.75,113.5,111.4,246786,28245423.7,28-AUG-2015,2811,INE386C01029
112,ASTRAZEN,EQ,1204.0,1204.0,1180.0,1184.45,1188.2,1184.6,8589,10198300.6,28-AUG-2015,632,INE203A01020
113,ATFL,EQ,627.9,627.9,608.0,610.45,608.05,618.5,3726,2280344.35,28-AUG-2015,144,INE209A01019
114,ATLANTA,EQ,37.5,39.0,34.8,35.15,35.25,36.85,165781,5995451.55,28-AUG-2015,1378,INE285H01022
115,ATLASCYCLE,EQ,183.0,188.9,183.0,185.05,186.0,179.7,10418,1929853.8,28-AUG-2015,435,INE446A01017
116,ATNINTER,EQ,0.35,0.45,0.35,0.4,0.4,0.4,8610,3313.5,28-AUG-2015,6,INE803A01027
117,ATUL,EQ,1313.95,1325.95,1290.0,1305.6,1305.0,1289.85,19508,25566294.75,28-AUG-2015,1167,INE100A01010
118,ATULAUTO,EQ,411.95,424.7,403.0,406.45,405.8,406.7,74267,30901664.1,28-AUG-2015,4434,INE951D01028
119,AURIONPRO,EQ,207.95,213.0,195.0,197.9,199.7,203.9,20549,4165633.5,28-AUG-2015,452,INE132H01018
120,AUROPHARMA,EQ,751.5,780.0,745.85,756.4,758.0,745.35,3666904,2814779615.55,28-AUG-2015,100776,INE406A01037
121,AUSOMENT,EQ,23.2,24.9,22.0,24.9,24.9,24.45,611,13812.7,28-AUG-2015,8,INE218C01016
122,AUSTRAL,EQ,0.5,0.5,0.45,0.45,0.45,0.5,440350,199178.65,28-AUG-2015,146,INE455J01027
123,AUTOAXLES,EQ,660.0,672.0,650.2,669.8,670.0,656.85,493,328646.65,28-AUG-2015,81,INE449A01011
124,AUTOIND,EQ,53.05,54.0,51.1,51.45,51.2,52.1,32169,1691038.5,28-AUG-2015,976,INE718H01014
125,AUTOLITIND,EQ,58.1,64.9,58.1,60.2,60.0,57.8,115878,7055340.65,28-AUG-2015,969,INE448A01013
126,AVANTIFEED,EQ,2650.0,2734.95,2600.0,2662.85,2675.0,2588.0,17571,47054411.25,28-AUG-2015,2409,INE871C01012
127,AVTNPL,EQ,32.1,32.3,30.7,31.0,31.0,31.65,61322,1932504.05,28-AUG-2015,574,INE488D01021
128,AXISBANK,EQ,516.0,528.9,502.25,508.15,509.6,509.25,10015309,5185282773.8,28-AUG-2015,165279,INE238A01034
129,AXISCADES,EQ,314.9,320.8,293.0,300.05,298.6,306.95,407189,125368083.4,28-AUG-2015,9840,INE555B01013
130,AXISGOLD,EQ,2413.3,2449.75,2413.3,2429.6,2435.0,2413.0,268,651887.05,28-AUG-2015,77,INF846K01347
131,BAFNAPHARM,EQ,28.3,29.5,28.15,28.3,28.5,28.3,37361,1075787.35,28-AUG-2015,302,INE878I01014
132,BAGFILMS,EQ,2.7,2.95,2.6,2.7,2.65,2.7,196957,541313.75,28-AUG-2015,170,INE116D01028
133,BAJAJ-AUTO,EQ,2214.95,2293.85,2202.05,2279.55,2272.0,2187.75,568948,1287912022.75,28-AUG-2015,47587,INE917I01010
134,BAJAJCORP,EQ,491.9,522.0,486.0,496.2,495.0,486.05,285738,145006255.5,28-AUG-2015,8374,INE933K01021
135,BAJAJELEC,EQ,246.0,257.3,244.0,248.45,247.7,240.1,407695,102658505.15,28-AUG-2015,7155,INE193E01025
136,BAJAJFINSV,EQ,1755.0,1846.95,1755.0,1815.05,1832.0,1744.65,99814,178036174.45,28-AUG-2015,3408,INE918I01018
137,BAJAJHIND,EQ,12.25,12.7,12.2,12.45,12.45,12.1,840370,10512877.9,28-AUG-2015,1740,INE306A01021
138,BAJAJHLDNG,EQ,1582.5,1639.9,1582.5,1626.4,1634.8,1585.15,107108,173064774.95,28-AUG-2015,820,INE118A01012
139,BAJFINANCE,EQ,5105.2,5128.9,4887.0,5052.5,5056.0,5099.95,206949,1050587118.5,28-AUG-2015,9963,INE296A01016
140,BALAJITELE,EQ,79.5,81.7,77.5,78.25,78.0,78.7,390386,31143490.35,28-AUG-2015,2329,INE794B01026
141,BALAMINES,EQ,128.7,133.95,124.0,127.0,126.55,129.9,17614,2266038.6,28-AUG-2015,374,INE050E01027
142,BALKRISIND,EQ,630.0,648.0,625.1,630.2,634.0,630.0,420391,265131117.25,28-AUG-2015,3741,INE787D01026
143,BALLARPUR,EQ,15.0,15.3,14.5,14.6,14.55,15.05,370769,5548692.8,28-AUG-2015,572,INE294A01037
144,BALMLAWRIE,EQ,597.05,609.35,594.1,597.15,595.2,593.25,33099,19993190.8,28-AUG-2015,842,INE164A01016
145,BALPHARMA,EQ,67.5,70.5,65.1,66.55,66.0,65.9,22386,1527631.3,28-AUG-2015,383,INE083D01012
146,BALRAMCHIN,EQ,41.6,41.9,40.25,40.3,40.5,39.95,271754,11047083.6,28-AUG-2015,1358,INE119A01028
147,BANARBEADS,EQ,28.35,31.0,28.35,28.6,28.6,29.55,124,3805.0,28-AUG-2015,4,INE655B01011
148,BANARISUG,EQ,672.0,674.5,640.0,645.4,661.9,667.9,679,445539.05,28-AUG-2015,59,INE459A01010
149,BANCOINDIA,EQ,128.0,129.55,125.0,126.45,126.0,125.8,69930,8938071.8,28-AUG-2015,1105,INE213C01025
150,BANKBARODA,EQ,191.0,192.45,181.0,185.2,185.1,187.8,8276935,1549916286.4,28-AUG-2015,55252,INE028A01039
151,BANKBEES,EQ,1775.0,1775.0,1728.5,1741.44,1743.0,1737.54,6260,10984451.09,28-AUG-2015,357,INF732E01078
152,BANKINDIA,EQ,146.0,148.1,138.15,141.55,141.15,142.75,4489613,646480655.15,28-AUG-2015,28701,INE084A01016
153,BANSWRAS,EQ,79.3,79.3,74.0,74.1,75.45,74.95,3049,230947.6,28-AUG-2015,40,INE629D01012
154,BARTRONICS,EQ,9.9,10.15,9.25,9.6,9.6,9.75,102948,1005853.55,28-AUG-2015,561,INE855F01034
155,BASF,EQ,1259.9,1290.0,1181.7,1203.8,1218.0,1244.3,55428,69261377.9,28-AUG-2015,4136,INE373A01013
156,BASML,EQ,195.0,204.0,190.0,192.75,190.0,194.7,854,168321.0,28-AUG-2015,34,INE186H01014
157,BATAINDIA,EQ,1119.0,1142.0,1067.0,1074.8,1072.0,1116.25,290897,323179303.7,28-AUG-2015,17303,INE176A01010
158,BAYERCROP,EQ,3936.05,3940.15,3841.05,3890.75,3860.0,3930.5,8493,32957577.95,28-AUG-2015,1197,INE462A01022
159,BBL,EQ,570.0,594.0,565.0,568.05,569.8,567.8,6281,3620460.75,28-AUG-2015,521,INE464A01028
160,BBTC,EQ,482.0,498.0,475.0,478.25,477.05,477.4,95456,46653835.1,28-AUG-2015,4175,INE050A01025
161,BEARDSELL,EQ,46.65,51.55,46.65,51.55,51.55,49.1,305,14737.75,28-AUG-2015,11,INE520H01014
162,BEDMUTHA,EQ,12.15,13.2,11.8,12.5,12.5,12.2,4507,57065.15,28-AUG-2015,78,INE844K01012
163,BEL,EQ,3443.0,3575.0,3443.0,3475.3,3480.5,3420.05,163872,573987413.0,28-AUG-2015,16857,INE263A01016
164,BEML,EQ,1313.7,1315.0,1218.0,1263.75,1286.0,1291.2,156233,199294487.4,28-AUG-2015,10508,INE258A01016
165,BEPL,EQ,15.25,15.5,14.5,14.7,14.7,14.65,123031,1843058.15,28-AUG-2015,209,INE922A01025
166,BERGEPAINT,EQ,210.45,213.6,207.0,207.55,207.5,209.45,105689,22214474.45,28-AUG-2015,1695,INE463A01038
167,BFINVEST,EQ,133.95,141.0,128.6,129.5,129.0,130.8,41134,5524567.45,28-AUG-2015,670,INE878K01010
168,BFUTILITIE,EQ,528.7,538.8,508.0,513.35,514.5,520.5,370581,194078250.4,28-AUG-2015,11078,INE243D01012
169,BGLOBAL,BE,3.6,3.8,3.6,3.8,3.8,3.75,2210,8075.85,28-AUG-2015,6,INE224M01013
170,BGRENERGY,EQ,111.75,114.0,108.6,109.85,109.7,109.65,215774,24041886.65,28-AUG-2015,3577,INE661I01014
171,BHAGYNAGAR,EQ,16.05,16.05,15.5,15.6,15.5,16.45,569,8940.35,28-AUG-2015,15,INE458B01028
172,BHARATFORG,EQ,1188.7,1199.9,1171.5,1182.7,1179.05,1179.75,713111,845803587.65,28-AUG-2015,38803,INE465A01025
173,BHARATGEAR,EQ,93.95,96.8,90.7,91.6,92.45,93.05,15256,1426123.45,28-AUG-2015,390,INE561C01019
174,BHARATRAS,EQ,991.0,1047.9,951.5,982.8,990.0,990.0,108,106475.0,28-AUG-2015,39,INE838B01013
175,BHARTIARTL,EQ,356.9,364.85,351.5,362.5,362.0,347.3,6139699,2196428740.75,28-AUG-2015,60206,INE397D01024
176,BHEL,EQ,235.95,239.65,231.55,234.6,234.0,231.6,3035620,716876422.25,28-AUG-2015,39937,INE257A01026
177,BHUSANSTL,EQ,54.1,55.5,52.55,52.85,52.9,53.25,170703,9168600.1,28-AUG-2015,1573,INE824B01021
178,BIL,EQ,506.0,511.45,494.0,498.95,497.0,503.85,23421,11869513.8,28-AUG-2015,808,INE828A01016
179,BILENERGY,EQ,0.85,0.85,0.8,0.8,0.8,0.85,6001,5050.85,28-AUG-2015,3,INE607L01029
180,BILPOWER,EQ,1.3,1.3,1.3,1.3,1.3,1.3,1500,1950.0,28-AUG-2015,5,INE952D01018
181,BINANIIND,EQ,77.7,79.4,75.25,75.7,75.5,76.25,33482,2593683.75,28-AUG-2015,683,INE071A01013
182,BINDALAGRO,BE,52.2,54.0,52.2,52.55,52.5,51.85,32721,1746341.2,28-AUG-2015,138,INE143A01010
183,BIOCON,EQ,448.75,448.75,438.3,441.6,443.0,437.35,409243,181171557.95,28-AUG-2015,13740,INE376G01013
184,BIRLACORPN,EQ,461.35,462.95,446.1,448.9,446.1,459.95,3945,1799803.85,28-AUG-2015,221,INE340A01012
185,BIRLACOT,EQ,0.05,0.05,0.05,0.05,0.05,0.05,2353666,117683.3,28-AUG-2015,113,INE655I01024
186,BIRLAERIC,BE,45.0,48.9,45.0,47.95,48.0,46.8,9448,454806.95,28-AUG-2015,86,INE800A01015
187,BIRLAMONEY,EQ,22.95,22.95,21.55,21.75,21.6,22.2,13130,289433.45,28-AUG-2015,107,INE865C01022
188,BLISSGVS,EQ,149.9,162.0,149.9,157.2,156.0,146.45,759647,118809813.95,28-AUG-2015,7627,INE416D01022
189,BLKASHYAP,EQ,9.35,10.4,9.35,10.0,10.2,9.3,56960,573897.05,28-AUG-2015,237,INE350H01032
190,BLUEDART,EQ,6792.05,7049.0,6787.0,6982.6,6960.0,6785.4,3727,25983766.5,28-AUG-2015,881,INE233B01017
191,BLUESTARCO,EQ,354.55,359.5,349.0,349.9,352.0,352.3,18453,6516552.15,28-AUG-2015,558,INE472A01039
192,BLUESTINFO,EQ,284.25,292.3,273.0,276.1,276.5,281.75,12508,3538284.3,28-AUG-2015,615,INE504B01011
193,BODALCHEM,EQ,31.8,32.65,30.55,30.85,31.15,31.3,79818,2510198.8,28-AUG-2015,755,INE338D01028
194,BOMDYEING,EQ,65.0,66.4,62.7,63.5,63.65,64.55,905925,58821353.3,28-AUG-2015,7652,INE032A01023
195,BOSCHLTD,EQ,23366.0,23832.8,23281.25,23670.3,23700.0,23122.8,38769,914012816.85,28-AUG-2015,9777,INE323A01026
196,BPCL,EQ,866.8,867.75,845.75,860.95,862.65,880.2,2017921,1739079590.75,28-AUG-2015,58642,INE029A01011
197,BPL,EQ,30.95,31.7,29.25,29.5,29.3,30.05,200382,6123557.1,28-AUG-2015,1493,INE110A01019
198,BRFL,EQ,120.45,123.85,118.1,119.3,120.9,121.45,894,107832.55,28-AUG-2015,42,INE589G01011
199,BRIGADE,EQ,138.0,144.7,132.55,134.25,132.75,136.7,23993,3310973.3,28-AUG-2015,943,INE791I01019
200,BRITANNIA,EQ,2966.0,3050.0,2950.0,2973.8,2970.0,2942.3,250718,752691802.9,28-AUG-2015,25836,INE216A01022
