,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,36.0,36.9,35.0,35.35,35.1,36.05,40025,1427579.95,02-MAR-2015,510,INE144J01027
1,3IINFOTECH,EQ,8.15,8.2,7.8,8.0,8.0,7.95,921703,7339388.45,02-MAR-2015,956,INE748C01020
2,3MINDIA,EQ,7889.95,7924.0,7800.0,7815.55,7839.0,7840.45,262,2062091.15,02-MAR-2015,84,INE470A01017
3,8KMILES,EQ,694.0,709.6,677.2,690.15,689.0,696.35,21747,15063381.75,02-MAR-2015,1272,INE650K01013
4,A2ZINFRA,EQ,20.0,20.4,18.25,18.4,18.6,19.6,518602,9747181.95,02-MAR-2015,2355,INE619I01012
5,AARTIDRUGS,EQ,1268.0,1305.0,1267.95,1295.75,1297.0,1264.2,9337,12040110.75,02-MAR-2015,697,INE767A01016
6,AARTIIND,EQ,292.6,293.0,285.2,289.7,290.0,288.6,19262,5584024.35,02-MAR-2015,1424,INE769A01020
7,AARVEEDEN,EQ,47.05,47.8,46.0,46.85,46.45,47.0,1877,87420.6,02-MAR-2015,48,INE273D01019
8,ABAN,EQ,474.4,474.9,465.6,471.35,469.6,471.1,560023,263375114.2,02-MAR-2015,12727,INE421A01028
9,ABB,EQ,1404.0,1425.0,1392.0,1400.5,1401.0,1399.55,54235,76135430.85,02-MAR-2015,4805,INE117A01022
10,ABBOTINDIA,EQ,3800.1,3830.15,3749.0,3806.55,3810.0,3792.2,3353,12706780.75,02-MAR-2015,424,INE358A01014
11,ABCIL,EQ,227.95,239.8,227.0,237.55,237.85,225.8,278268,65446342.45,02-MAR-2015,3821,INE605B01016
12,ABGSHIP,EQ,241.7,256.0,236.9,243.4,245.15,237.0,1062095,263015127.75,02-MAR-2015,16246,INE067H01016
13,ABIRLANUVO,EQ,1727.0,1760.0,1723.85,1735.7,1739.7,1720.95,499511,868008297.8,02-MAR-2015,19686,INE069A01017
14,ACC,EQ,1680.0,1774.3,1678.2,1762.8,1768.9,1678.1,937384,1633585201.5,02-MAR-2015,32966,INE012A01025
15,ACCELYA,EQ,939.9,959.0,939.85,953.8,955.0,923.25,11239,10696407.15,02-MAR-2015,525,INE793A01012
16,ACE,EQ,38.0,41.8,37.25,40.8,41.5,37.35,925208,36810539.75,02-MAR-2015,3911,INE731H01025
17,ACROPETAL,EQ,3.0,3.2,3.0,3.0,3.0,3.1,67656,204282.1,02-MAR-2015,87,INE055L01013
18,ADANIENT,EQ,702.0,716.0,690.0,709.9,714.8,697.5,1345964,946039794.0,02-MAR-2015,26600,INE423A01024
19,ADANIPORTS,EQ,334.5,335.6,325.6,330.35,331.1,330.75,2592113,855402465.8,02-MAR-2015,46958,INE742F01042
20,ADANIPOWER,EQ,56.45,56.55,54.55,55.35,55.35,56.05,5426406,300725763.1,02-MAR-2015,13973,INE814H01011
21,ADFFOODS,EQ,65.3,66.6,64.2,65.05,65.05,64.55,60048,3908924.6,02-MAR-2015,696,INE982B01019
22,ADHUNIK,EQ,20.15,20.15,19.5,19.65,19.5,19.65,20856,410522.7,02-MAR-2015,202,INE400H01019
23,ADORWELD,EQ,201.35,205.0,199.0,202.1,202.0,203.65,2039,412893.6,02-MAR-2015,100,INE045A01017
24,ADSL,EQ,23.8,23.8,22.05,22.55,22.5,22.75,43302,979458.85,02-MAR-2015,321,INE102I01027
25,ADVANIHOTR,EQ,55.0,55.95,51.1,51.15,51.15,51.0,4461,234520.7,02-MAR-2015,58,INE199C01026
26,ADVANTA,EQ,403.0,414.9,400.0,406.45,406.85,405.7,22845,9286805.35,02-MAR-2015,1372,INE517H01028
27,AEGISCHEM,EQ,417.0,425.0,416.0,422.95,423.0,416.95,13419,5652158.1,02-MAR-2015,455,INE208C01017
28,AFL,EQ,77.2,77.2,74.25,76.05,75.0,75.0,39217,2978527.2,02-MAR-2015,281,INE020G01017
29,AFTEK,BE,6.0,6.0,5.65,5.75,5.9,5.85,11038,63522.5,02-MAR-2015,30,INE796A01023
30,AGARIND,EQ,126.1,128.8,123.9,124.4,125.0,125.0,13785,1725730.85,02-MAR-2015,197,INE204E01012
31,AGCNET,EQ,99.0,104.5,99.0,100.85,100.6,100.2,4179,424727.6,02-MAR-2015,246,INE676A01019
32,AGRITECH,EQ,6.45,6.55,6.45,6.55,6.55,6.55,760,4966.0,02-MAR-2015,3,INE449G01018
33,AGRODUTCH,EQ,3.9,3.9,3.65,3.75,3.65,3.75,11828,44785.15,02-MAR-2015,30,INE135B01014
34,AHLEAST,EQ,170.45,179.0,168.05,176.8,177.75,174.45,1431,252755.95,02-MAR-2015,29,INE926K01017
35,AHLUCONT,EQ,240.0,281.7,240.0,275.85,274.35,239.05,676827,180647081.3,02-MAR-2015,8993,INE758C01029
36,AHLWEST,EQ,125.0,125.0,125.0,125.0,125.0,126.4,70,8750.0,02-MAR-2015,3,INE915K01010
37,AHMEDFORGE,EQ,274.0,278.0,270.0,273.25,273.5,272.55,89937,24595686.95,02-MAR-2015,2333,INE425A01011
38,AIAENG,EQ,1134.0,1156.3,1132.25,1149.45,1150.5,1134.8,81206,93393260.15,02-MAR-2015,4757,INE212H01026
39,AICHAMP,BE,15.5,15.5,15.5,15.5,15.5,15.5,40,620.0,02-MAR-2015,2,INE768E01024
40,AIL,EQ,684.0,707.0,682.1,703.95,706.9,680.55,46401,32284340.25,02-MAR-2015,2852,INE878A01011
41,AJANTPHARM,EQ,2801.0,2999.0,2800.0,2933.55,2967.0,2801.65,74682,216698095.3,02-MAR-2015,7344,INE031B01031
42,AJMERA,EQ,121.9,122.4,114.1,120.8,122.3,118.3,67798,8112987.2,02-MAR-2015,940,INE298G01027
43,AKSHOPTFBR,EQ,16.4,16.8,16.1,16.3,16.35,16.2,878229,14453865.3,02-MAR-2015,1858,INE523B01011
44,AKZOINDIA,EQ,1474.35,1504.5,1474.35,1488.95,1488.0,1473.05,10134,15091923.8,02-MAR-2015,1446,INE133A01011
45,ALBK,EQ,110.4,111.5,108.05,108.65,108.5,109.15,2480940,271237368.75,02-MAR-2015,15561,INE428A01015
46,ALCHEM,EQ,32.7,33.25,32.1,32.8,32.35,32.25,2032,66573.0,02-MAR-2015,36,INE964B01033
47,ALEMBICLTD,EQ,38.85,39.2,37.55,38.2,38.2,38.55,238773,9153208.8,02-MAR-2015,1201,INE426A01027
48,ALICON,EQ,294.85,295.0,289.1,293.05,290.5,288.95,4375,1276582.65,02-MAR-2015,129,INE062D01024
49,ALKALI,EQ,38.45,38.95,37.5,38.5,38.95,37.95,3558,135198.3,02-MAR-2015,79,INE773I01017
50,ALKYLAMINE,EQ,316.0,334.9,316.0,325.9,329.5,315.3,773,252084.3,02-MAR-2015,62,INE150B01021
51,ALLCARGO,EQ,341.0,344.8,338.3,340.15,341.0,338.75,51272,17515644.05,02-MAR-2015,1348,INE418H01029
52,ALLSEC,EQ,24.0,24.85,23.5,24.1,24.0,24.25,2814,68349.3,02-MAR-2015,36,INE835G01018
53,ALMONDZ,EQ,11.0,11.5,10.85,11.3,11.3,11.35,16002,178677.2,02-MAR-2015,21,INE326B01027
54,ALOKTEXT,EQ,9.05,9.1,8.8,8.9,8.95,8.9,5747326,51151186.45,02-MAR-2015,3601,INE270A01011
55,ALPA,BE,13.0,13.25,13.0,13.25,13.25,13.25,725,9437.5,02-MAR-2015,6,INE385I01010
56,ALPHAGEO,EQ,490.05,515.0,490.0,497.4,497.0,500.75,3718,1875891.85,02-MAR-2015,280,INE137C01018
57,ALPSINDUS,EQ,1.95,1.95,1.95,1.95,1.95,1.9,404,787.8,02-MAR-2015,1,INE093B01015
58,ALSTOMT&D,EQ,528.75,553.5,524.1,549.5,551.5,524.45,103094,55478307.6,02-MAR-2015,6017,INE200A01026
59,AMARAJABAT,EQ,882.0,888.0,867.05,875.4,874.5,879.2,123927,108420964.55,02-MAR-2015,9078,INE885A01032
60,AMBIKCO,EQ,533.05,558.0,532.8,555.6,555.0,535.05,23695,13039000.65,02-MAR-2015,243,INE540G01014
61,AMBUJACEM,EQ,272.0,287.0,270.4,285.45,287.0,272.1,2832881,795503361.75,02-MAR-2015,43422,INE079A01024
62,AMDIND,EQ,21.8,22.0,20.5,20.9,20.9,22.0,21480,448341.6,02-MAR-2015,119,INE005I01014
63,AMRUTANJAN,EQ,448.0,464.7,447.2,450.2,449.05,448.4,18194,8241859.6,02-MAR-2015,843,INE098F01023
64,AMTEKAUTO,EQ,154.5,160.0,153.6,156.75,157.05,153.8,918997,144262279.7,02-MAR-2015,9922,INE130C01021
65,AMTEKINDIA,EQ,61.65,62.65,61.0,61.95,61.75,60.95,245663,15190322.4,02-MAR-2015,1582,INE068D01021
66,AMTL,EQ,16.1,16.5,15.5,16.2,16.5,16.75,9913,158213.5,02-MAR-2015,33,INE436N01029
67,ANANTRAJ,EQ,46.7,46.9,45.5,45.8,45.9,46.3,729251,33611729.2,02-MAR-2015,5335,INE242C01024
68,ANDHRABANK,EQ,86.35,86.7,84.25,85.6,85.6,85.45,2058805,176082597.9,02-MAR-2015,12955,INE434A01013
69,ANDHRACEMT,EQ,10.0,10.8,9.1,10.6,10.7,9.8,213053,2197538.2,02-MAR-2015,828,INE666E01012
70,ANDHRSUGAR,EQ,107.0,108.5,104.65,107.0,107.0,107.8,9402,1004469.95,02-MAR-2015,207,INE715B01013
71,ANGIND,EQ,38.0,38.0,36.3,36.95,36.75,37.8,17960,667020.9,02-MAR-2015,57,INE017D01010
72,ANIKINDS,BE,27.0,27.0,27.0,27.0,27.0,25.95,25,675.0,02-MAR-2015,1,INE087B01017
73,ANKITMETAL,EQ,3.9,3.95,3.4,3.85,3.75,3.9,19844,75424.55,02-MAR-2015,70,INE106I01010
74,ANSALAPI,EQ,28.75,29.55,28.5,29.35,29.4,28.45,207146,6035452.85,02-MAR-2015,845,INE436A01026
75,ANSALHSG,EQ,30.85,36.25,30.5,35.6,36.1,31.0,361594,12447650.85,02-MAR-2015,1960,INE880B01015
76,ANTGRAPHIC,BE,0.2,0.2,0.2,0.2,0.2,0.15,211,42.2,02-MAR-2015,6,INE414B01021
77,APARINDS,EQ,365.0,374.0,362.0,370.7,370.1,360.65,25454,9368435.7,02-MAR-2015,1176,INE372A01015
78,APCOTEXIND,EQ,431.0,456.0,415.0,452.35,454.8,425.15,15285,6731786.35,02-MAR-2015,550,INE116A01024
79,APLAPOLLO,EQ,355.0,367.0,346.0,350.55,350.0,354.35,1985,705819.15,02-MAR-2015,583,INE702C01019
80,APLLTD,EQ,406.0,414.75,401.55,408.25,413.0,404.35,207517,84859677.55,02-MAR-2015,4403,INE901L01018
81,APOLLOHOSP,EQ,1313.0,1362.0,1312.0,1348.1,1350.1,1314.2,214128,287849274.35,02-MAR-2015,13198,INE437A01024
82,APOLLOTYRE,EQ,177.0,180.0,173.65,178.65,178.25,175.0,2906234,513447237.15,02-MAR-2015,45053,INE438A01022
83,APOLSINHOT,BE,224.0,225.4,220.0,225.4,225.4,214.7,389,87060.0,02-MAR-2015,17,INE451F01016
84,APTECHT,EQ,68.25,68.3,66.25,66.5,66.5,67.55,130171,8717269.35,02-MAR-2015,1076,INE266F01018
85,ARCHIDPLY,EQ,32.05,35.55,32.05,33.65,33.5,33.9,52071,1770367.85,02-MAR-2015,770,INE877I01016
86,ARCHIES,EQ,22.45,23.85,22.1,22.75,22.9,22.25,126299,2873874.05,02-MAR-2015,669,INE731A01020
87,ARCOTECH,EQ,341.4,346.0,340.05,344.5,344.0,344.25,45147,15507732.75,02-MAR-2015,743,INE574I01027
88,ARIES,EQ,125.05,132.2,125.05,130.35,130.35,127.55,63368,8280584.85,02-MAR-2015,1163,INE298I01015
89,ARIHANT,EQ,56.6,58.0,56.6,58.0,58.0,56.6,496,28138.0,02-MAR-2015,4,INE413D01011
90,AROGRANITE,EQ,65.0,65.0,63.2,63.35,63.3,63.2,6663,427915.25,02-MAR-2015,81,INE210C01013
91,ARROWTEX,EQ,34.85,36.75,34.65,35.55,35.3,34.4,62995,2267632.35,02-MAR-2015,629,INE933J01015
92,ARSHIYA,EQ,27.2,28.25,26.65,28.25,28.25,26.95,169462,4780131.0,02-MAR-2015,254,INE968D01022
93,ARSSINFRA,EQ,47.6,50.2,44.2,47.4,47.5,46.75,309977,14792165.1,02-MAR-2015,2532,INE267I01010
94,ARVIND,EQ,308.0,317.4,306.35,314.75,314.6,306.55,1679760,527337482.15,02-MAR-2015,17782,INE034A01011
95,ARVINDREM,EQ,16.3,16.4,14.75,14.95,14.95,16.3,2074921,31648263.1,02-MAR-2015,5273,INE211C01037
96,ASAHIINDIA,EQ,139.65,139.65,135.95,137.15,137.0,137.2,149389,20512356.15,02-MAR-2015,332,INE439A01020
