,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,38.65,40.5,38.1,39.9,39.8,38.65,94583,3759199.4,18-SEP-2017,696,INE144J01027
1,3IINFOTECH,EQ,4.0,4.0,3.9,3.95,3.95,3.95,1088060,4320329.25,18-SEP-2017,524,INE748C01020
2,3MINDIA,EQ,14685.0,14780.0,14123.05,14594.1,14649.0,14710.05,2165,31641458.55,18-SEP-2017,605,INE470A01017
3,63MOONS,EQ,85.5,87.3,84.55,85.3,85.25,84.45,814730,69887083.1,18-SEP-2017,5834,INE111B01023
4,8KMILES,EQ,406.15,411.8,399.0,401.15,400.4,406.0,102423,41458946.6,18-SEP-2017,2520,INE650K01021
5,A2ZINFRA,EQ,38.95,38.95,36.45,36.9,36.65,36.65,2656324,100513132.75,18-SEP-2017,5642,INE619I01012
6,AARTIDRUGS,EQ,538.45,541.0,536.0,539.65,537.0,537.95,8892,4791999.6,18-SEP-2017,255,INE767A01016
7,AARTIIND,EQ,876.0,888.8,866.55,875.35,874.0,878.35,24876,21886095.4,18-SEP-2017,2163,INE769A01020
8,AARVEEDEN,BE,49.1,49.1,46.25,47.3,47.25,47.2,76529,3633713.0,18-SEP-2017,367,INE273D01019
9,ABAN,EQ,179.8,181.0,177.35,177.85,178.0,178.5,637501,114223106.85,18-SEP-2017,6991,INE421A01028
10,ABB,EQ,1425.6,1442.0,1412.0,1421.1,1429.0,1425.6,38846,55361963.2,18-SEP-2017,4420,INE117A01022
11,ABBOTINDIA,EQ,4190.0,4190.0,4001.0,4076.05,4076.0,4157.5,6441,26304375.9,18-SEP-2017,1564,INE358A01014
12,ABCAPITAL,EQ,206.45,206.45,199.05,199.95,199.65,203.25,6389800,1288127637.6,18-SEP-2017,45021,INE674K01013
13,ABFRL,EQ,174.4,174.85,171.25,172.05,171.7,171.65,333357,57581844.7,18-SEP-2017,4895,INE647O01011
14,ABGSHIP,BZ,10.5,11.25,10.45,11.05,11.15,10.95,20538,225948.8,18-SEP-2017,96,INE067H01016
15,ABMINTLTD,BE,55.0,55.0,52.25,52.25,52.25,55.0,276,14492.25,18-SEP-2017,13,INE251C01017
16,ACC,EQ,1827.2,1847.55,1822.05,1825.85,1825.0,1820.7,199639,366298895.35,18-SEP-2017,7583,INE012A01025
17,ACCELYA,EQ,1408.9,1480.0,1403.0,1470.05,1463.0,1402.4,13493,19730310.75,18-SEP-2017,930,INE793A01012
18,ACE,EQ,68.65,71.5,67.5,68.5,68.6,67.65,376835,26119861.4,18-SEP-2017,2029,INE731H01025
19,ADANIENT,EQ,131.65,132.9,130.1,130.85,131.2,130.65,2676220,351773968.95,18-SEP-2017,11922,INE423A01024
20,ADANIPORTS,EQ,406.9,408.2,397.7,404.7,405.0,405.15,3698399,1497205563.35,18-SEP-2017,44166,INE742F01042
21,ADANIPOWER,EQ,31.85,32.1,31.45,31.6,31.7,31.45,4513335,143237384.6,18-SEP-2017,6266,INE814H01011
22,ADANITRANS,EQ,145.0,145.5,138.2,139.4,139.2,142.65,583207,82849880.35,18-SEP-2017,8169,INE931S01010
23,ADFFOODS,EQ,225.6,229.7,222.2,223.9,224.0,220.75,307722,69074970.65,18-SEP-2017,6567,INE982B01019
24,ADHUNIK,EQ,4.55,4.95,4.3,4.7,4.65,4.55,227515,1041121.25,18-SEP-2017,776,INE400H01019
25,ADLABS,EQ,71.75,74.0,71.5,72.35,72.25,71.05,347042,25173286.85,18-SEP-2017,2599,INE172N01012
