,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,38.45,39.0,36.55,37.0,37.0,37.9,24470,925269.85,07-APR-2015,238,INE144J01027
1,3IINFOTECH,EQ,7.0,7.3,7.0,7.1,7.1,6.9,2176518,15534774.75,07-APR-2015,2488,INE748C01020
2,3MINDIA,EQ,8250.0,8866.0,8050.0,8609.9,8555.0,8144.4,2381,20452239.0,07-APR-2015,690,INE470A01017
3,3RDROCK,IT,185.95,185.95,185.55,185.55,0.0,185.8,43105,8005029.55,07-APR-2015,5,INE768P01012
4,8KMILES,EQ,758.0,817.0,758.0,784.55,784.5,761.55,113782,89635910.85,07-APR-2015,6004,INE650K01013
5,A2ZINFRA,EQ,16.7,16.95,16.3,16.75,16.75,16.5,241266,4017454.2,07-APR-2015,1080,INE619I01012
6,AARTIDRUGS,EQ,655.15,786.15,655.15,786.15,786.15,655.15,381760,283623477.25,07-APR-2015,15373,INE767A01016
7,AARTIIND,EQ,348.4,368.9,341.25,364.1,361.5,346.5,234971,83616878.05,07-APR-2015,5936,INE769A01020
8,AARVEEDEN,EQ,44.9,44.9,43.1,43.2,43.2,43.85,423,18278.25,07-APR-2015,16,INE273D01019
9,ABAN,EQ,465.9,472.05,455.6,462.0,461.55,462.9,1207424,559006529.1,07-APR-2015,28642,INE421A01028
10,ABB,EQ,1348.0,1369.8,1325.0,1345.95,1342.2,1344.15,72901,98688702.3,07-APR-2015,6233,INE117A01022
11,ABBOTINDIA,EQ,4070.65,4070.65,3981.0,4011.45,4011.9,4020.65,1747,7025643.8,07-APR-2015,345,INE358A01014
12,ABCIL,EQ,224.05,229.35,221.6,228.65,229.35,221.25,32279,7344660.2,07-APR-2015,493,INE605B01016
13,ABGSHIP,EQ,233.8,243.3,226.0,238.1,237.05,232.4,450485,106241044.3,07-APR-2015,7331,INE067H01016
14,ABIRLANUVO,EQ,1665.0,1725.0,1655.55,1705.35,1724.8,1670.4,122965,207910841.05,07-APR-2015,8946,INE069A01017
15,ACC,EQ,1621.4,1659.8,1603.8,1650.3,1653.25,1617.4,393758,640520332.35,07-APR-2015,21328,INE012A01025
16,ACCELYA,EQ,979.0,979.0,950.0,952.35,950.0,965.05,2801,2673630.25,07-APR-2015,274,INE793A01012
17,ACE,EQ,42.0,43.6,41.5,43.0,43.3,41.75,312652,13307727.65,07-APR-2015,1448,INE731H01025
18,ACROPETAL,EQ,3.1,3.35,3.05,3.2,3.2,3.05,17435,54330.45,07-APR-2015,32,INE055L01013
19,ADANIENT,EQ,635.0,644.9,625.55,640.95,642.15,629.0,1257131,797239036.25,07-APR-2015,31162,INE423A01024
20,ADANIPORTS,EQ,323.0,325.6,316.65,323.9,323.75,321.25,1913068,615218803.4,07-APR-2015,39616,INE742F01042
21,ADANIPOWER,EQ,47.45,48.95,47.05,48.65,48.55,47.35,4573142,220007768.75,07-APR-2015,10992,INE814H01011
22,ADFFOODS,EQ,61.95,62.5,61.25,62.15,61.8,61.8,22799,1409686.65,07-APR-2015,290,INE982B01019
23,ADHUNIK,EQ,21.4,21.95,21.1,21.65,21.85,21.25,173307,3713999.9,07-APR-2015,943,INE400H01019
24,ADLABS,EQ,192.25,207.0,184.8,185.8,185.4,192.65,1743051,339785432.1,07-APR-2015,24090,INE172N01012
25,ADORWELD,EQ,222.05,226.9,222.0,223.15,223.0,222.55,2003,449467.75,07-APR-2015,59,INE045A01017
26,ADSL,EQ,21.85,21.85,20.35,20.85,20.75,21.05,49802,1031613.7,07-APR-2015,338,INE102I01027
27,ADVANIHOTR,EQ,44.5,44.75,44.0,44.5,44.5,46.0,155,6896.25,07-APR-2015,9,INE199C01026
28,ADVANTA,EQ,464.25,537.95,452.5,526.75,534.9,460.1,314124,160853427.25,07-APR-2015,10941,INE517H01028
29,AEGISCHEM,EQ,650.1,689.0,650.1,670.1,671.0,645.8,134444,90108931.9,07-APR-2015,5708,INE208C01017
30,AFL,EQ,72.7,73.0,72.0,72.65,72.3,72.0,9971,723977.8,07-APR-2015,138,INE020G01017
31,AFTEK,BZ,3.9,3.9,3.9,3.9,3.9,3.75,2891,11274.9,07-APR-2015,5,INE796A01023
32,AGARIND,EQ,112.0,115.15,108.0,110.7,111.35,107.4,1754,194837.3,07-APR-2015,104,INE204E01012
33,AGCNET,EQ,94.15,96.65,91.6,92.35,93.0,94.85,7881,741309.55,07-APR-2015,276,INE676A01019
34,AGRITECH,EQ,6.0,7.4,5.85,6.2,6.0,6.2,2418,15638.05,07-APR-2015,15,INE449G01018
35,AGRODUTCH,EQ,2.9,2.9,2.9,2.9,2.9,2.8,1001,2902.9,07-APR-2015,6,INE135B01014
36,AHLEAST,EQ,193.1,193.1,180.25,183.1,192.9,183.9,477,87356.8,07-APR-2015,15,INE926K01017
37,AHLUCONT,EQ,281.7,282.3,266.0,272.0,273.0,279.35,117240,31819746.4,07-APR-2015,2705,INE758C01029
